generation,best_score,mean_score,median_score,elite_median_score,worst_score,best_turns,median_turns,worst_turns,best_food_eaten,best_sc_survival,best_sc_towards,best_sc_against,best_sc_ate,best_sc_bomb
1,1308.43,364.0477,315.2533,707.1617,-0.51,5064,1287.0,3,89.33333333333333,151.93,1511.333,-408.333,446.667,-393.167
2,1163.4233,249.4154,170.4833,296.91,-0.9067,4756,646.7,3,75.0,142.69,1406.667,-388.6,375.0,-372.333
3,769.0733,194.8994,145.0583,331.5317,-0.6733,3278,590.8,3,45.333333333333336,98.34,970.0,-267.6,226.667,-258.333
4,1326.9967,220.6777,100.1867,357.2083,-0.48,4651,439.3,4,96.0,139.53,1423.333,-360.867,480.0,-355.0
5,685.1467,230.0079,193.2633,410.945,-0.3767,2623,710.5,3,43.0,78.68,800.0,-204.533,215.0,-204.0
6,1001.7967,226.8331,186.29,238.5533,0.4233,4061,750.7,3,66.0,121.83,1200.0,-332.2,330.0,-317.833
7,913.15,272.7371,220.685,540.4167,-0.51,3592,938.2,3,62.0,107.75,1066.0,-291.933,310.0,-278.667
8,1032.36,292.3229,275.38,428.0083,-0.51,4329,1017.2,3,66.33333333333333,129.86,1269.333,-358.0,331.667,-340.5
9,1416.1633,273.676,186.7883,277.5717,-0.9867,5421,732.7,3,95.0,162.63,1631.0,-431.8,475.0,-420.667
10,1007.0733,282.5831,246.1433,412.6567,-0.51,3785,948.7,3,69.33333333333333,113.54,1140.333,-300.8,346.667,-292.667
11,1216.6367,251.7373,190.2183,270.79,-0.51,4322,784.0,3,90.0,129.67,1308.167,-341.2,450.0,-330.0
12,1185.0667,250.6727,61.855,542.9867,-0.0433,4763,350.7,3,74.0,142.9,1426.667,-382.0,370.0,-372.5
13,1098.2333,229.5867,158.5183,312.7017,-0.51,4217,598.2,3,73.0,126.5,1269.333,-335.6,365.0,-327.0
14,966.8367,287.8019,196.925,275.395,-0.51,3724,802.5,3,67.66666666666667,109.87,1096.5,-293.867,338.333,-284.0
15,866.6767,265.3352,225.2117,414.8033,-0.51,3548,905.3,3,54.333333333333336,104.21,1041.333,-278.2,271.667,-272.333
16,1026.8,240.7131,231.6817,398.5833,-0.4133,4143,898.8,6,66.66666666666667,124.3,1230.0,-336.667,333.333,-324.167
17,922.33,278.8978,197.1933,422.06,-0.2767,3657,812.0,3,66.0,101.23,1017.833,-267.733,330.0,-259.0
18,1129.5767,227.2531,133.9017,360.9433,-0.51,4507,619.3,3,73.66666666666667,135.21,1342.333,-364.467,368.333,-351.833
19,1172.2567,291.6967,195.5867,387.56,-0.7367,4966,842.3,4,70.0,148.99,1469.667,-405.4,350.0,-391.0
20,1141.4567,186.7895,64.7983,289.0667,-0.7367,4623,300.3,3,72.66666666666667,138.69,1375.5,-374.4,363.333,-361.667
21,1155.5333,242.2737,64.35,357.0517,-0.5933,4837,381.3,3,72.33333333333333,145.1,1426.5,-396.733,361.667,-381.0
22,994.77,221.6722,130.9483,383.1317,-0.51,3592,535.5,3,72.0,107.77,1086.167,-284.0,360.0,-275.167
23,1192.5267,269.4753,96.625,426.8533,-0.1633,4242,425.8,3,84.33333333333333,127.26,1298.333,-329.067,421.667,-325.667
24,936.9433,237.1219,212.0683,366.8383,-0.6,3300,827.0,3,67.66666666666667,99.01,1008.333,-256.733,338.333,-252.0
25,716.81,249.0339,246.0083,322.58,-0.2767,2810,968.0,3,43.666666666666664,84.31,854.333,-220.333,218.333,-219.833
26,1019.5767,244.9575,211.6767,352.98,1.6233,3847,748.3,3,67.66666666666667,115.41,1166.833,-302.667,338.333,-298.333
27,1143.0567,281.4002,218.2933,506.7917,-0.51,4466,823.7,3,73.33333333333333,133.99,1345.833,-354.933,366.667,-348.5
28,1224.9667,262.5526,182.3633,392.43,-0.51,4557,726.0,3,86.66666666666667,136.7,1369.833,-363.4,433.333,-351.5
29,1094.89,253.256,122.9433,289.5017,-1.2667,4446,570.7,4,76.33333333333333,133.39,1295.667,-371.0,381.667,-344.833
30,816.59,219.1305,228.38,255.155,-0.7033,3113,870.8,3,54.666666666666664,93.39,937.833,-247.467,273.333,-240.5
31,1062.12,284.4593,266.34,315.4383,-0.2767,3941,998.2,3,76.33333333333333,118.22,1181.333,-315.6,381.667,-303.5
32,1131.5433,286.9397,182.54,552.8717,-1.0733,4424,685.5,3,74.33333333333333,132.71,1326.0,-354.333,371.667,-344.5
33,983.6833,332.7519,273.3417,525.6867,-0.7933,4198,1065.7,3,61.333333333333336,125.95,1228.5,-348.267,306.667,-329.167
34,1164.3533,240.8823,174.5683,473.8433,-0.51,4487,724.3,3,78.33333333333333,134.62,1344.667,-359.6,391.667,-347.0
35,900.0833,228.9111,161.96,438.5433,-1.27,3668,673.3,3,60.666666666666664,99.15,1009.833,-257.067,303.333,-255.167
36,1178.9867,273.625,144.0283,223.5183,-0.51,4851,698.3,3,78.66666666666667,145.52,1419.833,-402.2,393.333,-377.5
37,1349.5267,277.2931,117.9633,553.5717,-0.6233,5245,481.0,3,87.33333333333333,157.36,1580.167,-417.0,436.667,-407.667
38,893.7567,250.9562,150.4,470.68,-0.51,3913,617.2,3,52.666666666666664,117.39,1146.167,-324.133,263.333,-309.0
39,1164.8633,243.8014,185.635,324.3483,-0.85,4738,736.3,3,73.0,142.13,1411.5,-382.933,365.0,-370.833
40,1487.67,305.8769,183.4867,402.3833,-0.85,5659,712.3,3,98.66666666666667,166.97,1695.0,-435.133,493.333,-432.5
41,1130.9033,242.9875,120.0833,388.0233,-0.51,4559,535.0,3,74.66666666666667,136.77,1348.167,-372.533,373.333,-354.833
42,833.2533,197.5667,137.0383,358.715,-0.7767,3447,668.5,3,52.0,103.42,1021.167,-281.0,260.0,-270.333
43,1102.4067,260.9737,122.035,353.8967,0.23,4538,445.0,8,76.0,136.14,1318.833,-380.067,380.0,-352.5
44,950.13,260.1101,209.7667,342.495,-0.5033,4024,790.3,3,55.666666666666664,120.73,1195.667,-326.6,278.333,-318.0
45,1034.3933,241.8586,186.4267,221.085,0.89,4179,740.7,3,67.33333333333333,125.36,1238.167,-340.467,336.667,-325.333
46,934.1333,210.0047,108.865,345.0467,-0.6467,3719,479.0,3,67.0,103.0,1033.667,-273.2,335.0,-264.333
47,836.0933,193.6016,159.215,279.1033,-0.2767,2939,635.3,3,54.666666666666664,88.16,920.0,-219.733,273.333,-225.667
48,929.84,236.2541,150.2317,450.6583,-0.6567,3658,540.5,3,62.666666666666664,109.74,1088.0,-296.4,313.333,-284.833
49,1004.14,237.4815,139.5983,459.125,-0.7933,4088,548.8,3,64.33333333333333,122.64,1212.333,-332.667,321.667,-319.833
50,1274.4867,281.7479,238.3,384.1017,-0.47,5201,948.3,3,75.33333333333333,156.02,1565.667,-413.867,376.667,-410.0
51,1176.1067,248.3906,239.5683,248.775,-0.55,4595,942.7,3,79.0,137.84,1369.667,-371.067,395.0,-355.333
52,1108.8567,215.1067,115.1867,399.55,-1.18,4073,594.7,3,77.0,122.19,1235.667,-320.333,385.0,-313.667
53,1305.77,209.4169,135.7767,329.83,-1.4033,4926,505.5,3,89.33333333333333,147.77,1483.667,-391.667,446.667,-380.667
54,1296.3833,290.5835,239.0733,242.93,-0.68,4995,922.5,3,85.33333333333333,149.85,1503.833,-397.467,426.667,-386.5
55,755.5367,263.5995,259.1633,363.9233,-0.51,2789,998.3,3,55.0,83.67,834.167,-224.133,275.0,-213.167
56,1143.8967,312.172,300.5883,473.3083,-0.51,4788,1145.2,3,73.0,143.63,1406.167,-395.067,365.0,-375.833
57,1116.9133,289.8079,255.48,326.81,1.6467,4673,1005.7,3,65.66666666666667,140.18,1393.167,-377.267,328.333,-367.5
58,780.2467,210.3748,157.21,275.4467,-0.51,3226,676.0,3,47.666666666666664,96.78,960.0,-261.2,238.333,-253.667
59,848.16,220.1413,85.9317,439.55,-0.6067,3163,507.8,3,61.333333333333336,91.66,925.167,-241.0,306.667,-234.333
60,1279.1767,248.1795,136.4333,274.785,-0.51,4650,561.5,3,93.33333333333333,139.51,1399.333,-370.333,466.667,-356.0
