generation,best_score,mean_score,median_score,elite_median_score,worst_score,best_turns,median_turns,worst_turns,best_food_eaten,best_sc_survival,best_sc_towards,best_sc_against,best_sc_ate,best_sc_bomb
1,13.89,2.2436,1.185,6.3275,-0.86,84,11.2,3,2.0,0.54,5.5,-1.4,10.0,-0.75
2,13.87,3.5604,3.0375,4.8675,-0.935,132,13.0,3,1.0,1.62,15.75,-4.5,5.0,-4.0
3,21.55,3.9389,2.4175,2.6775,-1.105,108,14.2,3,2.5,0.6,9.25,-0.3,12.5,-0.5
4,17.675,4.103,3.1725,4.5175,-1.235,178,13.0,3,0.5,5.325,42.75,-18.4,2.5,-14.5
5,38.465,5.9914,3.1975,4.385,-0.51,247,15.0,3,1.5,5.265,53.25,-13.8,7.5,-13.75
6,34.58,6.7217,4.1625,5.43,-0.98,161,20.2,3,2.5,4.83,44.25,-14.5,12.5,-12.5
7,35.605,7.9679,5.07,4.8125,-1.115,164,27.2,3,2.0,4.905,47.25,-13.8,10.0,-12.75
8,28.75,6.7292,5.375,4.9225,-0.86,135,21.2,3,2.5,4.05,35.5,-12.8,12.5,-10.5
9,36.445,6.5276,4.625,5.6825,-0.935,222,23.0,3,1.5,6.645,60.25,-20.2,7.5,-17.75
10,44.45,9.5778,6.1275,8.1575,-0.51,252,30.0,3,2.5,6.45,61.25,-18.5,12.5,-17.25
11,39.845,7.3793,5.2675,6.93,-1.26,158,27.2,3,4.0,2.895,30.0,-7.3,20.0,-5.75
12,48.175,9.1854,5.4725,2.9375,-1.005,244,30.2,3,2.0,6.525,66.0,-17.1,10.0,-17.25
13,34.4,7.2767,5.0325,4.94,-0.51,170,27.5,3,2.5,5.1,45.75,-15.7,12.5,-13.25
14,49.72,7.353,3.775,5.455,-0.74,224,27.5,3,3.0,6.72,64.5,-19.0,15.0,-17.5
15,76.7,10.8309,7.0775,6.5775,-1.295,206,31.2,5,9.5,5.1,49.0,-14.4,47.5,-10.5
16,36.04,9.2752,6.5825,6.85,-0.32,248,30.0,4,1.0,7.44,66.75,-22.9,5.0,-20.25
17,40.845,10.0296,7.4225,7.1775,-0.51,214,29.8,3,2.0,5.745,56.0,-15.9,10.0,-15.0
18,51.31,11.5749,6.2225,12.785,-0.16,269,48.5,3,4.5,5.46,52.5,-15.4,22.5,-13.75
19,46.835,12.7449,7.5025,8.2275,-0.68,224,47.2,4,3.0,6.735,62.5,-19.9,15.0,-17.5
20,32.655,8.0631,4.965,12.4825,-0.73,194,29.5,3,2.0,5.805,50.75,-18.4,10.0,-15.5
21,57.81,10.5349,6.375,10.505,-0.51,227,43.2,3,5.0,6.81,63.5,-20.0,25.0,-17.5
22,26.385,7.7259,6.3425,9.54,-0.4,160,32.5,3,1.0,4.785,43.75,-14.4,5.0,-12.75
23,51.785,10.1352,5.625,6.735,-0.68,244,33.2,3,3.5,7.335,67.75,-21.8,17.5,-19.0
24,55.925,11.0783,6.995,6.55,-0.51,292,47.8,3,3.5,8.775,79.75,-26.6,17.5,-23.5
25,31.615,10.3777,8.2025,10.1875,-0.51,186,46.0,3,1.0,5.565,52.25,-16.2,5.0,-15.0
26,54.18,9.9873,7.325,9.085,-0.935,211,39.5,3,5.5,6.33,55.75,-19.9,27.5,-15.5
27,45.675,9.1382,5.5475,10.8225,-0.765,192,45.8,4,3.0,5.775,56.0,-16.1,15.0,-15.0
28,45.945,8.9007,4.3975,8.8575,-0.645,208,37.5,3,3.0,5.295,53.0,-14.1,15.0,-13.25
29,29.01,10.1177,7.1725,13.7275,-1.09,154,48.2,3,2.0,3.66,35.0,-10.4,10.0,-9.25
