generation,best_score,mean_score,median_score,elite_median_score,worst_score,best_turns,median_turns,worst_turns,best_food_eaten,best_sc_survival,best_sc_towards,best_sc_against,best_sc_ate,best_sc_bomb
1,3027.56,1044.5834,1075.0617,2196.5583,-0.51,11159,4206.3,3,185.0,334.76,3480.5,-839.533,925.0,-873.167
2,2401.0733,854.7317,957.4183,1801.2867,-0.68,9148,3287.3,3,150.66666666666666,274.44,2798.5,-710.2,753.333,-715.0
3,3307.18,733.2611,537.8533,1236.7717,-0.51,13216,1989.8,3,190.66666666666666,396.48,4029.333,-1031.467,953.333,-1040.5
4,2994.5367,564.0543,120.59,1065.87,-0.51,11552,766.3,3,181.66666666666666,346.57,3539.0,-894.867,908.333,-904.5
5,3987.31,697.1423,303.5567,1322.6283,-0.85,15490,1213.7,3,240.33333333333334,464.71,4739.167,-1202.4,1201.667,-1215.833
6,4806.55,540.3475,108.1783,879.1667,-0.51,17885,511.5,3,287.3333333333333,536.55,5577.5,-1346.0,1436.667,-1398.167
7,1757.7633,664.3361,681.775,933.0333,-0.51,6768,2616.5,3,108.33333333333333,203.03,2069.833,-525.6,541.667,-531.167
8,3179.02,834.2949,677.31,1254.3067,-0.51,12311,2637.0,3,178.66666666666666,369.32,3819.167,-934.467,893.333,-968.333
9,3120.9067,849.1342,699.6833,1856.245,-0.51,11535,2430.7,3,190.66666666666666,346.04,3592.0,-870.133,953.333,-900.333
10,3025.2233,656.3456,197.1267,1321.0317,-0.9533,11643,867.0,3,185.0,349.29,3564.667,-902.733,925.0,-911.0
11,2786.1533,546.0886,118.7883,1371.9933,-0.7367,10921,548.5,3,165.0,327.62,3339.167,-848.467,825.0,-857.167
12,2717.3667,669.9091,217.38,1680.435,-0.4267,10757,1001.0,3,160.66666666666666,322.7,3279.167,-839.667,803.333,-848.167
13,3678.7733,685.5483,370.0233,1092.3717,-0.51,14061,1433.0,3,226.33333333333334,421.84,4313.0,-1087.067,1131.667,-1100.667
14,5021.0,684.39,301.545,781.6267,-0.7867,18883,1279.3,3,292.0,566.5,5895.0,-1418.667,1460.0,-1481.833
15,2941.37,636.4129,343.6467,1464.6483,-0.85,12049,1434.8,3,180.0,361.47,3598.833,-970.267,900.0,-948.667
16,4124.24,675.5276,241.5983,1484.5383,-0.6067,17091,991.3,3,246.33333333333334,512.74,5102.333,-1377.333,1231.667,-1345.167
