generation,best_score,mean_score,median_score,elite_median_score,worst_score,best_turns,median_turns,worst_turns,best_food_eaten,best_sc_survival,best_sc_towards,best_sc_against,best_sc_ate,best_sc_bomb
1,880.58,171.7438,118.89,411.14,1.4,886,123.0,10,66,26.58,712.0,-87.0,330.0,-101.0
2,852.77,145.6452,70.43,85.765,1.59,809,60.0,3,70,24.27,646.0,-81.5,350.0,-86.0
3,839.26,145.8016,111.27,128.645,-2.82,792,105.0,3,65,23.76,647.0,-72.5,325.0,-84.0
4,861.1,145.7792,92.845,149.41,-3.76,870,95.0,3,65,26.1,694.0,-88.0,325.0,-96.0
5,925.69,166.0322,97.03,109.765,-1.41,923,104.0,3,71,27.69,739.0,-92.0,355.0,-104.0
6,641.29,132.5422,84.475,126.265,-1.41,593,74.5,3,47,17.79,498.0,-47.5,235.0,-62.0
7,884.45,227.4846,162.585,243.2,-0.76,815,160.5,3,70,24.45,669.0,-73.0,350.0,-86.0
8,640.82,178.3164,96.42,141.93,-1.41,618,88.0,3,49,17.82,492.0,-51.0,245.0,-63.0
9,667.59,142.8146,93.55,104.31,-3.76,653,85.0,3,50,19.59,529.0,-62.0,250.0,-69.0
10,974.32,167.0274,108.29,215.91,-3.76,994,95.0,3,75,29.82,785.0,-104.5,375.0,-111.0
11,1052.16,226.381,142.185,344.26,-1.41,1013,128.0,3,83,29.16,798.0,-87.0,415.0,-103.0
12,762.9,211.0098,146.465,152.975,-2.26,730,126.5,8,59,21.9,594.0,-68.0,295.0,-80.0
13,796.7,166.3222,114.295,144.65,-3.76,690,126.5,3,65,20.7,578.0,-56.0,325.0,-71.0
14,793.71,189.0674,167.62,233.225,-5.37,757,151.5,10,62,22.71,615.0,-71.0,310.0,-83.0
15,953.43,169.2624,113.29,162.69,-1.55,931,113.0,3,74,27.93,748.0,-91.5,370.0,-101.0
16,1344.34,188.65,92.495,224.695,-3.76,1428,99.5,3,99,42.84,1125.0,-151.5,495.0,-167.0
17,855.38,200.3662,110.02,284.42,1.45,796,109.0,9,67,23.88,653.0,-71.5,335.0,-85.0
18,930.9,220.7844,152.23,328.22,9.21,930,161.5,13,73,27.9,738.0,-96.0,365.0,-104.0
19,867.54,163.6356,79.52,178.24,-2.26,868,84.0,3,67,26.04,693.0,-87.5,335.0,-99.0
20,1415.02,181.8898,109.34,103.105,-3.76,1334,104.0,3,110,40.02,1090.0,-122.0,550.0,-143.0
21,933.54,184.9064,106.325,212.76,-1.41,918,83.0,3,67,27.54,754.0,-82.0,335.0,-101.0
22,616.56,144.3762,104.675,113.365,-3.76,652,107.0,3,45,19.56,514.0,-69.0,225.0,-73.0
23,1153.13,147.8404,77.115,141.025,-3.76,1171,77.0,3,85,35.13,943.0,-114.0,425.0,-136.0
24,826.01,212.0594,189.19,198.71,-2.26,806,179.5,3,65,23.01,629.0,-69.0,325.0,-82.0
25,794.87,132.8088,76.845,58.935,1.8,929,77.5,10,55,27.87,713.0,-108.0,275.0,-113.0
26,1145.04,169.1588,60.485,75.235,-4.08,1068,69.5,3,91,32.04,868.0,-100.0,455.0,-110.0
27,723.81,185.405,118.26,264.83,-1.41,777,97.0,3,53,23.31,610.0,-83.5,265.0,-91.0
28,636.02,139.5112,108.98,262.45,-1.41,684,95.0,3,48,20.52,531.0,-76.5,240.0,-79.0
29,1041.31,163.0516,61.94,203.615,-3.76,977,88.0,3,85,29.31,785.0,-96.0,425.0,-102.0
30,916.8,129.8318,65.23,44.055,-2.26,860,66.0,3,69,25.8,714.0,-73.0,345.0,-95.0
31,640.55,157.8272,101.105,226.0,-1.41,633,120.0,3,53,17.55,475.0,-55.0,265.0,-62.0
32,1459.16,224.7432,108.665,183.795,-1.41,1422,110.5,3,112,42.66,1153.0,-134.5,560.0,-162.0
33,937.46,175.334,95.515,252.005,-3.76,832,99.5,3,78,24.96,681.0,-75.5,390.0,-83.0
34,605.01,118.4646,72.33,79.97,-3.76,617,94.5,3,47,18.51,484.0,-66.5,235.0,-66.0
35,1018.3,150.4444,55.065,102.885,-3.76,1010,48.5,3,76,30.3,818.0,-96.0,380.0,-114.0
36,1199.14,185.8258,63.325,151.865,-3.76,1188,68.0,3,92,35.64,953.0,-117.5,460.0,-132.0
37,812.77,123.9378,44.73,131.05,2.27,809,62.5,9,61,24.27,650.0,-79.5,305.0,-87.0
38,532.03,171.041,91.55,112.625,-1.41,551,94.5,3,36,16.53,450.0,-50.5,180.0,-64.0
39,511.88,123.2808,81.625,125.605,-1.41,496,71.5,3,39,14.88,404.0,-46.0,195.0,-56.0
40,760.53,131.3716,103.93,175.965,-1.41,751,93.5,3,60,22.53,597.0,-77.0,300.0,-82.0
41,685.02,176.622,116.315,256.18,-3.33,697,104.5,3,53,19.02,524.0,-55.0,265.0,-68.0
42,840.54,161.8858,104.71,161.61,-1.41,868,93.0,3,58,26.04,707.0,-80.5,290.0,-102.0
43,822.63,142.2634,46.155,357.885,-6.05,771,50.5,3,58,23.13,654.0,-58.5,290.0,-86.0
44,1129.66,183.6564,116.57,177.51,-3.76,1072,111.5,3,86,32.16,879.0,-96.5,430.0,-115.0
45,1521.56,194.057,104.535,218.66,-1.41,1602,114.0,3,114,48.06,1261.0,-170.5,570.0,-187.0
46,727.37,183.7168,161.745,158.575,-2.26,679,157.5,3,57,20.37,555.0,-62.0,285.0,-71.0
47,1302.61,191.9346,105.765,207.41,-1.41,1287,121.5,3,99,38.61,1037.0,-125.0,495.0,-143.0
48,1090.33,135.9936,97.915,204.585,-3.76,1061,86.0,3,82,31.83,864.0,-98.5,410.0,-117.0
49,566.19,150.6942,96.765,196.305,-1.41,534,88.5,3,43,15.69,434.0,-44.5,215.0,-54.0
50,1273.37,162.283,88.26,203.265,-1.01,1179,102.0,3,101,35.37,961.0,-109.0,505.0,-119.0
51,487.7,131.4948,67.18,260.975,-3.76,506,68.0,3,37,13.2,371.0,-34.5,185.0,-47.0
52,654.22,160.873,101.925,300.21,-1.41,658,88.5,3,50,18.72,511.0,-56.5,250.0,-69.0
53,1219.47,142.7178,74.42,208.63,-1.41,1199,70.0,3,94,35.97,968.0,-115.5,470.0,-139.0
54,1123.83,176.7012,87.01,143.035,-3.76,1111,92.0,3,90,33.33,878.0,-116.5,450.0,-121.0
55,1015.44,165.2424,99.39,115.785,-1.41,948,97.0,3,79,28.44,780.0,-84.0,395.0,-104.0
56,976.32,182.2062,109.34,139.555,-3.76,944,101.0,8,75,28.32,766.0,-89.0,375.0,-104.0
57,671.12,187.6248,111.84,334.72,-3.76,704,94.0,7,51,21.12,550.0,-77.0,255.0,-78.0
58,850.98,209.0646,156.175,243.195,-1.41,766,158.0,3,67,22.98,638.0,-64.0,335.0,-81.0
59,686.75,141.878,57.605,353.17,-3.76,675,62.5,3,53,20.25,542.0,-66.5,265.0,-74.0
60,653.61,129.1574,81.415,70.15,1.07,667,62.5,10,48,19.11,522.0,-57.5,240.0,-70.0
61,848.72,179.5588,80.795,434.295,-2.82,874,84.0,3,59,26.22,707.0,-83.5,295.0,-96.0
62,1157.42,184.001,89.79,160.15,-3.76,1164,98.5,3,83,34.92,947.0,-108.5,415.0,-131.0
63,1430.34,182.373,72.28,155.59,-3.76,1328,72.5,3,110,39.84,1099.0,-114.5,550.0,-144.0
64,659.95,173.8036,101.435,208.915,-1.41,665,113.5,3,49,19.95,535.0,-65.0,245.0,-75.0
65,1548.25,204.6536,105.59,129.915,7.31,1525,98.0,16,122,45.75,1212.0,-156.5,610.0,-163.0
66,854.04,178.28,114.7,126.035,-1.41,818,115.0,3,61,24.54,683.0,-67.5,305.0,-91.0
67,684.62,143.2076,92.61,194.7,-2.26,654,85.5,3,55,19.62,526.0,-64.0,275.0,-72.0
