generation,best_score,mean_score,median_score,elite_median_score,worst_score,best_turns,median_turns,worst_turns,best_food_eaten,best_sc_survival,best_sc_towards,best_sc_against,best_sc_ate,best_sc_bomb
1,13.8133,2.5272,2.4483,7.6617,-2.9767,47,13.3,3,1.3333333333333333,0.48,10.0,-3.0,6.667,-0.333
2,26.7133,5.7643,4.8483,3.8667,-2.7333,85,19.2,3,2.3333333333333335,1.38,28.0,-9.0,11.667,-5.333
3,20.6533,7.8118,7.0967,7.0467,-1.38,75,22.7,3,1.6666666666666667,1.82,33.0,-13.833,8.333,-8.667
4,38.19,8.7865,5.7767,3.9083,0.2767,90,20.2,7,2.6666666666666665,2.69,53.333,-18.167,13.333,-13.0
5,38.38,9.6999,7.4283,8.585,-1.0433,79,24.8,8,2.6666666666666665,1.38,34.667,-5.667,13.333,-5.333
6,51.08,11.3823,9.2,3.6583,-1.73,78,25.3,6,4.0,2.08,48.0,-10.667,20.0,-8.333
7,41.7767,11.2297,7.2783,4.7117,-1.41,55,20.0,3,3.0,1.61,38.667,-7.5,15.0,-6.0
8,48.41,13.6463,11.3417,6.5283,-0.8567,74,22.0,3,3.3333333333333335,1.91,46.0,-8.833,16.667,-7.333
9,35.4667,11.9089,9.8717,5.9633,-1.41,63,18.3,3,3.3333333333333335,1.3,29.0,-7.167,16.667,-4.333
10,70.0833,16.3615,11.5717,5.5533,-2.35,92,28.3,4,4.333333333333333,2.75,68.333,-11.667,21.667,-11.0
11,62.5767,16.3749,11.8367,5.9233,-0.6633,130,24.5,4,4.333333333333333,3.91,80.333,-25.0,21.667,-18.333
12,74.7133,16.969,11.6183,9.2933,0.65,96,26.0,5,6.0,2.88,67.0,-14.5,30.0,-10.667
13,59.3933,14.4453,7.7567,8.0267,-1.41,171,25.3,3,4.666666666666667,2.06,50.667,-9.0,23.333,-7.667
14,71.6467,14.8633,9.7567,8.5817,-2.3867,129,28.8,4,4.666666666666667,2.98,72.0,-13.667,23.333,-13.0
15,77.3033,19.7343,14.0217,10.98,-1.41,99,29.8,3,5.333333333333333,2.97,72.333,-13.333,26.667,-11.333
16,68.3467,18.9183,14.715,4.4933,-1.41,89,24.2,3,4.333333333333333,2.68,66.667,-11.333,21.667,-11.333
17,72.6667,19.3133,14.845,6.495,2.7833,100,27.2,5,5.333333333333333,3.0,70.667,-14.667,26.667,-13.0
18,72.4833,22.1649,18.7733,13.0467,0.6,113,31.7,3,4.333333333333333,2.65,68.667,-9.833,21.667,-10.667
19,73.9833,24.0606,19.89,15.5483,-1.5833,138,34.2,6,5.0,4.15,88.667,-24.833,25.0,-19.0
20,76.6533,19.9423,13.86,15.455,-1.41,99,29.2,3,6.0,2.32,60.667,-8.333,30.0,-8.0
21,98.8667,16.5065,12.0667,7.99,0.9867,190,27.0,7,7.333333333333333,5.7,119.0,-35.5,36.667,-27.0
22,120.3167,24.7178,17.775,16.4483,-1.4433,238,37.7,3,9.666666666666666,7.15,145.333,-46.5,48.333,-34.0
23,183.8267,29.7687,15.255,11.22,2.0633,422,29.8,8,13.333333333333334,12.66,251.667,-85.167,66.667,-62.0
24,158.4767,35.184,28.685,19.975,1.5033,327,52.7,6,12.0,9.81,199.0,-64.0,60.0,-46.333
25,94.9367,30.1351,18.4367,15.24,1.04,209,51.8,7,7.0,6.27,125.667,-41.667,35.0,-30.333
26,236.5533,45.0943,26.01,18.6633,2.6367,491,53.7,10,18.666666666666668,14.72,295.667,-97.5,93.333,-69.667
27,203.6,43.0861,28.8233,18.75,-1.7733,437,66.7,10,15.333333333333334,13.1,263.667,-86.5,76.667,-63.333
28,205.4633,43.2909,33.1617,26.0133,0.68,454,73.0,6,14.0,13.63,278.0,-88.167,70.0,-68.0
29,184.4567,43.1135,30.63,13.7217,2.4333,410,61.3,9,13.666666666666666,12.29,246.0,-81.833,68.333,-60.333
30,170.3567,52.1267,46.8267,29.465,1.9567,357,84.3,7,12.666666666666666,10.19,210.0,-64.833,63.333,-48.333
31,132.1367,44.7036,36.6883,27.035,3.0067,332,68.2,9,9.0,9.97,194.667,-68.833,45.0,-48.667
32,124.4967,42.8129,34.4733,23.315,0.09,344,67.5,12,7.0,10.33,202.667,-70.833,35.0,-52.667
33,194.4,55.8905,38.3767,38.3833,1.6533,547,91.7,7,9.0,16.4,326.667,-110.0,45.0,-83.667
34,230.5967,41.7762,21.8267,17.85,-0.0467,631,59.5,3,11.333333333333334,18.93,379.0,-126.0,56.667,-98.0
35,279.2067,44.9545,25.2767,34.79,-0.3167,735,90.3,8,14.0,22.04,445.0,-144.833,70.0,-113.0
36,175.38,49.5079,39.605,32.93,-1.41,496,106.8,3,8.666666666666666,14.88,295.0,-100.5,43.333,-77.333
37,247.5467,40.041,23.4617,27.0683,-1.41,696,80.7,3,12.333333333333334,20.88,414.0,-141.0,61.667,-108.0
38,288.0467,48.8647,23.8283,51.5483,-1.41,879,79.5,3,11.666666666666666,26.38,522.0,-178.667,58.333,-140.0
39,198.7,61.8114,46.5283,39.59,-0.2,539,133.8,5,10.666666666666666,15.7,314.0,-104.667,53.333,-79.667
40,313.9633,82.0035,66.8867,40.2233,-0.91,838,164.5,3,16.666666666666668,25.13,502.0,-167.833,83.333,-128.667
41,341.9867,103.0577,72.115,38.3283,4.9267,822,197.3,18,21.333333333333332,24.32,491.333,-159.667,106.667,-120.667
42,358.5067,86.9107,72.3783,66.62,5.78,1061,197.7,23,18.666666666666668,31.84,618.667,-221.333,93.333,-164.0
43,247.2333,68.2695,56.3417,55.545,-0.41,680,169.8,3,13.0,20.4,404.333,-137.833,65.0,-104.667
44,308.07,103.7752,76.395,63.6517,0.9967,869,221.0,11,13.333333333333334,26.07,523.667,-172.667,66.667,-135.667
45,463.2267,82.4614,66.7633,44.3017,-1.41,1219,201.2,3,25.666666666666668,36.56,728.667,-245.0,128.333,-185.333
46,312.3367,98.4745,76.2767,88.2033,1.7567,867,233.0,3,15.0,24.17,493.333,-156.167,75.0,-124.0
47,180.4167,71.0871,60.315,46.8717,2.4267,520,153.0,8,10.333333333333334,13.25,268.0,-86.833,51.667,-65.667
48,254.6733,56.6089,30.525,77.615,1.1433,711,103.5,3,15.333333333333334,21.34,414.0,-148.667,76.667,-108.667
49,257.6167,52.6423,22.6783,95.0883,-0.91,865,79.5,3,14.0,25.95,485.667,-189.667,70.0,-134.333
50,371.89,66.9022,47.7583,91.0267,1.8233,896,184.5,16,25.0,26.89,535.0,-180.667,125.0,-134.333
51,374.42,101.2648,70.9133,58.1233,-1.13,864,222.8,3,28.0,25.92,512.333,-175.833,140.0,-128.0
52,380.5467,122.4451,103.8317,60.0333,3.27,929,312.2,15,25.666666666666668,27.88,552.0,-188.667,128.333,-139.0
53,626.53,116.1777,85.6683,70.22,5.9133,1551,263.5,23,40.0,46.53,927.0,-312.0,200.0,-235.0
54,478.7933,120.1693,102.485,67.9817,5.1233,1095,240.7,43,36.0,29.96,609.0,-194.833,180.0,-145.333
55,479.3867,156.6374,142.1083,138.57,4.7333,1257,370.8,13,32.333333333333336,37.72,732.667,-262.333,161.667,-190.333
56,482.93,147.8142,110.5583,107.7617,-1.41,1281,301.2,3,34.0,38.43,738.667,-271.167,170.0,-193.0
57,409.1133,107.9375,92.7233,117.1983,3.9667,1142,253.0,20,28.333333333333332,29.28,581.667,-197.167,141.667,-146.333
58,649.0,144.6758,102.2633,76.5183,2.5433,1467,304.2,24,43.666666666666664,44.0,893.333,-286.667,218.333,-220.0
59,623.8933,119.4499,79.545,87.21,3.7633,1469,206.3,13,43.333333333333336,44.06,878.333,-295.167,216.667,-220.0
60,544.6433,167.3581,141.0817,154.3983,5.5067,1310,353.5,30,38.333333333333336,39.31,775.667,-267.333,191.667,-194.667
61,926.0133,125.2445,81.85,108.7133,-1.41,2306,218.3,3,66.33333333333333,69.18,1349.667,-478.167,331.667,-346.333
62,572.3767,143.0204,98.1683,127.8433,-0.41,1390,256.0,3,39.666666666666664,41.71,823.667,-283.333,198.333,-208.0
63,568.4167,101.9695,35.685,106.0133,-1.41,1425,162.0,3,35.666666666666664,42.75,850.333,-287.333,178.333,-215.667
