generation,best_score,mean_score,median_score,elite_median_score,worst_score,best_turns,median_turns,worst_turns,best_food_eaten,best_sc_survival,best_sc_towards,best_sc_against,best_sc_ate,best_sc_bomb
1,2438.7933,448.0894,393.03,1014.1667,-0.68,10262,1576.0,3,145.33333333333334,307.86,3049.167,-832.733,726.667,-812.167
2,1242.4533,333.1964,289.1767,378.5533,-0.4467,5600,1131.3,3,77.66666666666667,157.92,1545.0,-434.8,388.333,-414.0
3,1880.6833,409.9545,282.455,601.34,-0.51,8362,1295.2,3,112.0,250.85,2431.667,-699.667,560.0,-662.167
4,2264.01,503.3488,358.3783,552.0217,-0.51,9394,1114.5,3,126.66666666666667,281.81,2836.5,-744.133,633.333,-743.5
5,1693.3167,386.1877,249.28,779.8917,-0.51,7178,1169.7,3,91.66666666666667,215.35,2162.0,-570.867,458.333,-571.5
6,1643.92,435.3367,422.1117,674.035,-0.51,6924,1709.3,3,92.33333333333333,207.72,2077.5,-553.8,461.667,-549.167
7,1684.52,457.2802,388.2033,712.2067,-0.0433,7097,1644.0,3,99.0,212.92,2111.833,-574.733,495.0,-560.5
8,3527.1267,677.8887,566.65,626.2833,-0.9633,14412,2311.7,3,199.66666666666666,432.36,4370.0,-1134.4,998.333,-1139.167
9,1775.79,484.3296,514.2667,670.22,-1.0733,7596,2129.2,3,103.66666666666667,227.89,2250.0,-619.267,518.333,-601.167
10,1725.2567,519.1131,493.4133,546.4567,-0.68,6946,2124.3,3,99.0,208.39,2114.5,-543.467,495.0,-549.167
11,1741.2933,418.8457,354.2283,622.4983,-0.55,7232,1519.0,3,100.33333333333333,216.96,2172.667,-577.333,501.667,-572.667
12,1654.21,503.9277,447.6517,700.8917,-0.51,6470,2055.5,3,95.66666666666667,194.11,1990.833,-497.733,478.333,-511.333
13,1490.69,404.8115,273.1033,635.2983,-0.7867,6020,1130.7,3,104.33333333333333,147.49,1554.5,-361.467,521.667,-371.5
14,2230.7333,479.6589,390.6983,750.04,-0.51,9680,1670.5,3,127.33333333333333,290.4,2863.333,-790.667,636.667,-769.0
15,1804.8867,267.2013,128.3667,589.42,-0.51,8137,700.5,3,114.66666666666667,244.12,2326.833,-696.733,573.333,-642.667
16,1883.6667,468.2787,333.6317,625.995,-0.2767,8064,1402.0,3,104.33333333333333,234.2,2362.0,-616.533,521.667,-617.667
17,1879.34,434.3804,288.845,970.555,-0.56,7835,1395.7,3,111.66666666666667,235.04,2336.833,-632.2,558.333,-618.667
18,1388.9367,381.3287,214.32,481.105,-0.0433,5676,986.7,3,79.0,170.27,1720.333,-447.0,395.0,-449.667
19,2733.0,452.8303,333.6733,488.7367,-0.2767,10770,1354.8,3,167.0,323.1,3267.667,-846.933,835.0,-845.833
20,1598.7067,354.1358,194.8717,659.6233,-0.56,6545,845.0,3,91.33333333333333,196.34,1979.5,-517.133,456.667,-516.667
21,1689.9067,459.4539,404.7967,632.4667,-0.47,6771,1709.3,3,99.0,203.14,2057.167,-531.4,495.0,-534.0
22,2214.36,472.3411,346.72,731.215,-0.51,9029,1454.0,3,125.33333333333333,270.86,2739.333,-710.0,626.667,-712.5
23,2470.3467,654.7439,586.505,530.445,-0.51,9976,2539.3,3,145.33333333333334,299.28,3018.167,-787.933,726.667,-785.833
24,1512.1933,455.7241,374.3217,966.385,-0.51,6155,1696.8,3,82.33333333333333,184.66,1882.333,-478.133,411.667,-488.333
25,2229.5933,465.0687,273.8083,754.4883,-0.51,9105,1261.5,3,127.33333333333333,273.16,2757.5,-718.067,636.667,-719.667
26,1963.63,503.8117,389.4283,862.4333,-0.07,8081,1810.3,3,114.0,242.43,2432.667,-643.133,570.0,-638.333
27,2345.5533,508.9249,446.4533,777.31,-0.4967,9414,1826.3,3,141.33333333333334,282.42,2844.0,-745.2,706.667,-742.333
28,2335.0267,624.2327,486.7517,897.9067,-0.51,10439,2104.5,3,147.0,313.16,2999.0,-888.133,735.0,-824.0
