generation,best_score,mean_score,median_score,worst_score,best_turns,median_turns,worst_turns,best_food_eaten,best_sc_survival,best_sc_towards,best_sc_against,best_sc_ate,best_sc_bomb
1,29.47,3.23,1.355,-2.4,149,13.5,3,1,4.47,79.0,-35.0,5.0,-24.0
2,20.09,3.0706,1.815,-2.26,103,14.5,3,1,3.09,53.0,-25.0,5.0,-16.0
3,33.64,5.3072,3.3,-2.37,148,15.5,3,3,2.64,48.0,-20.0,15.0,-12.0
4,30.42,6.4132,4.485,-2.35,130,15.5,3,2,1.92,39.0,-12.5,10.0,-8.0
5,36.26,6.5568,3.63,-2.4,142,20.0,3,2,4.26,76.0,-33.0,10.0,-21.0
6,45.62,7.3334,4.955,-4.01,104,16.0,3,3,3.12,63.0,-20.5,15.0,-15.0
7,68.36,11.4176,5.835,-2.7,173,21.0,3,7,3.36,68.0,-22.0,35.0,-16.0
8,26.79,8.641,6.84,-2.23,243,21.5,5,1,2.79,53.0,-20.0,5.0,-14.0
9,59.08,11.9514,6.91,-1.32,152,24.0,3,5,4.08,78.0,-29.0,25.0,-19.0
10,63.34,8.82,6.585,-3.31,128,20.0,3,3,3.84,85.0,-21.5,15.0,-19.0
11,61.04,10.3442,7.57,-2.23,218,17.5,6,2,6.54,125.0,-46.5,10.0,-34.0
12,48.1,11.482,9.06,-3.17,120,21.0,4,3,3.6,71.0,-24.5,15.0,-17.0
13,52.91,9.4992,7.075,-0.17,141,17.5,6,4,2.91,61.0,-18.0,20.0,-13.0
14,75.86,15.481,10.58,0.74,112,30.5,5,6,3.36,75.0,-18.5,30.0,-14.0
15,26.32,10.3336,9.795,-2.23,121,27.5,6,1,2.82,53.0,-20.5,5.0,-14.0
16,48.69,11.068,8.155,-0.31,133,30.5,3,4,2.19,48.0,-12.5,20.0,-9.0
17,46.16,9.101,6.81,-0.73,136,15.5,6,3,3.66,71.0,-25.5,15.0,-18.0
18,39.03,9.6632,7.16,-0.73,129,19.0,6,2,3.03,61.0,-20.0,10.0,-15.0
19,54.28,10.9098,8.635,-1.58,126,26.5,9,4,3.78,75.0,-25.5,20.0,-19.0
20,62.9,9.0032,4.99,-1.67,148,21.5,8,4,3.9,82.0,-24.0,20.0,-19.0
21,55.13,8.5028,5.34,-2.7,171,21.0,3,4,5.13,95.0,-38.0,20.0,-27.0
22,48.2,8.928,5.715,-3.17,164,20.5,3,5,2.7,51.0,-19.5,25.0,-11.0
23,63.37,10.9444,5.95,-3.17,205,24.0,9,5,3.87,78.0,-25.5,25.0,-18.0
24,65.48,12.5752,7.72,-1.2,158,21.5,3,5,3.48,74.0,-21.0,25.0,-16.0
25,52.54,12.0142,8.705,-0.87,159,30.5,9,5,3.54,66.0,-26.0,25.0,-16.0
26,37.09,8.8716,5.985,-3.17,103,22.0,8,3,3.09,57.0,-23.0,15.0,-15.0
27,50.98,11.2498,7.545,-0.73,153,26.5,9,5,3.48,65.0,-25.5,25.0,-17.0
28,41.88,10.4684,6.59,-1.67,126,24.0,3,4,1.38,31.0,-7.5,20.0,-3.0
29,79.25,12.1856,6.995,-2.35,175,18.5,5,6,5.25,105.0,-35.0,30.0,-26.0
30,37.39,8.7838,5.22,-1.67,113,20.5,5,2,3.39,65.0,-24.0,10.0,-17.0
31,50.78,11.2746,8.285,-2.02,126,21.0,3,3,3.78,76.0,-25.0,15.0,-19.0
32,99.07,9.3846,3.77,-2.37,219,20.0,3,8,6.57,128.0,-45.5,40.0,-30.0
33,93.5,11.9106,7.7,-2.23,200,25.5,5,8,6.0,117.0,-41.5,40.0,-28.0
34,143.08,14.9824,9.285,-0.73,286,27.0,5,10,8.58,179.0,-53.5,50.0,-41.0
35,46.26,10.3136,6.76,-1.32,111,22.0,3,4,2.76,55.0,-18.5,20.0,-13.0
36,36.66,10.4792,7.11,-0.05,122,22.0,8,1,3.66,72.0,-25.0,5.0,-19.0
37,62.19,13.7672,9.13,-2.35,123,32.0,5,5,3.69,74.0,-24.5,25.0,-16.0
38,49.27,12.7612,9.035,-0.99,136,28.5,6,3,3.27,67.0,-21.0,15.0,-15.0
39,58.49,10.3208,9.045,-0.73,133,19.5,3,4,3.99,80.0,-26.5,20.0,-19.0
40,75.84,12.4626,7.97,-1.58,228,23.5,5,5,6.84,128.0,-50.0,25.0,-34.0
41,88.64,12.0866,6.805,-1.11,250,22.5,6,5,7.14,141.0,-48.5,25.0,-36.0
42,86.13,13.3892,7.51,-2.82,243,22.0,3,6,5.13,107.0,-32.0,30.0,-24.0
43,78.93,11.5546,8.015,-3.52,131,23.0,5,6,3.93,85.0,-23.0,30.0,-17.0
44,62.9,15.1488,9.62,-0.19,230,33.0,6,3,6.9,128.0,-51.0,15.0,-36.0
45,82.08,15.532,10.03,-0.73,236,36.0,9,4,7.08,140.0,-48.0,20.0,-37.0
46,73.62,14.036,7.475,-0.73,204,30.0,6,6,6.12,113.0,-45.5,30.0,-30.0
47,61.4,13.2414,8.36,1.17,159,30.0,3,5,3.9,77.0,-26.5,25.0,-18.0
48,38.89,9.3186,4.86,-0.99,149,21.0,3,3,1.89,41.0,-11.0,15.0,-8.0
49,30.17,9.585,7.955,-0.87,137,23.5,3,2,2.67,50.0,-19.5,10.0,-13.0
50,47.24,11.1688,6.42,-1.11,126,29.5,9,4,3.24,62.0,-23.0,20.0,-15.0
51,91.82,13.0648,9.75,0.77,244,29.5,3,5,7.32,145.0,-49.5,25.0,-36.0
52,64.07,12.1982,7.875,-1.55,133,22.0,6,6,3.57,70.0,-24.5,30.0,-15.0
53,54.47,10.3402,8.775,-2.23,149,26.0,3,5,4.47,81.0,-34.0,25.0,-22.0
54,54.49,13.0914,9.89,-0.73,233,36.0,7,2,6.99,128.0,-52.5,10.0,-38.0
55,73.52,13.8424,7.24,0.51,184,31.5,5,5,5.52,108.0,-38.0,25.0,-27.0
56,84.87,13.3124,6.61,-1.55,179,26.0,3,7,5.37,106.0,-36.5,35.0,-25.0
57,46.44,11.656,8.6,-1.88,130,27.0,4,3,2.94,61.0,-18.5,15.0,-14.0
