generation, best_score, mean_score, median_score, elite_median_score, worst_score, best_turns, median_turns, worst_turns, best_food_eaten, best_sc_survival, best_sc_towards, best_sc_against, best_sc_ate, best_sc_bomb
         1,   38661.55,  1953.962 ,        3.34 ,           5226.305, -1.47      ,      81955,         10.0,           3,             898,           819.55,         51349.0, -15303.0       ,      1796.0,          0.0
         2,   38238.44,  3664.9142,     1197.505,           9141.065, -2.45      ,      81494,       2443.5,           5,             908,           814.94,         50903.0, -15295.5       ,      1816.0,          0.0
         3,   22571.84,  3253.218 ,      764.425,           9980.98 , 9.21       ,      47934,       1870.5,          18,             535,           479.34,         29993.0, -8970.5        ,      1070.0,          0.0
         4,   35216.74,  4219.7938,      578.37 ,          14592.255, 1.59       ,      74824,       1705.5,           9,             823,           748.24,         46823.0, -14000.5       ,      1646.0,          0.0
         5,   14179.56,  3253.3484,     1491.02 ,           9417.8  , 8.78       ,      30056,       3002.0,          28,             337,           300.56,         18822.0, -5617.0        ,       674.0,          0.0
         6,   28561.94,  4011.4782,      908.61 ,          13219.685, 10.58      ,      60394,       1939.0,          42,             675,           603.94,         37870.0, -11262.0       ,      1350.0,          0.0
         7,   24641.89,  3985.7928,     2437.97 ,           9069.06 , 0.09       ,      52289,       5197.0,           9,             597,           522.89,         32713.0, -9788.0        ,      1194.0,          0.0
         8,   20741.44,  3419.998 ,      729.81 ,          11081.715, 6.56       ,      43444,       1556.0,           6,             475,           434.44,         27386.0, -8029.0        ,       950.0,          0.0
         9,   19910.15,  3608.3324,     1586.995,          12513.125, 3.21       ,      42415,       3374.5,          17,             480,           424.15,         26489.0, -7963.0        ,       960.0,          0.0
        10,   44454.86,  5107.0614,     1166.27 ,          16863.59 , 3.09       ,      94186,       2646.5,           9,            1134,           941.86,         58892.0, -17647.0       ,      2268.0,          0.0
        11,   17152.91,  2799.1322,     1273.56 ,           9252.695, 1.65       ,      36541,       2975.5,           9,             414,           365.41,         22820.0, -6860.5        ,       828.0,          0.0
        12,   17324.85,  3308.2204,     1454.685,           8693.32 , 3.09       ,      36735,       3118.5,           9,             423,           367.35,         22986.0, -6874.5        ,       846.0,          0.0
        13,   18506.21,  3329.8116,     1578.71 ,          11612.74 , 12.27      ,      39071,       3371.0,          27,             464,           390.71,         24482.0, -7294.5        ,       928.0,          0.0
        14,   28576.68,  4440.7984,     1055.625,          14377.235, 1.6        ,      60618,       2411.0,          10,             684,           606.18,         37941.0, -11338.5       ,      1368.0,          0.0
        15,   36139.78,  5335.5738,     1859.63 ,          13095.435, 1.59       ,      76478,       3913.0,           9,             864,           764.78,         47924.0, -14277.0       ,      1728.0,          0.0
