generation,best_score,mean_score,median_score,elite_median_score,worst_score,best_turns,median_turns,worst_turns,best_food_eaten,best_sc_survival,best_sc_towards,best_sc_against,best_sc_ate,best_sc_bomb
1,1045.2,256.0462,193.565,640.255,7.15,1192,198.0,5,91,32.7,815.0,-137.5,455.0,-120.0
2,1934.93,273.8138,142.47,384.51,1.45,2131,176.5,9,166,63.93,1573.0,-279.0,830.0,-253.0
3,1484.45,244.6022,120.32,376.335,0.65,1715,139.5,4,129,51.45,1233.0,-241.0,645.0,-204.0
4,1349.91,243.0714,134.385,595.12,2.64,1597,152.0,9,119,47.91,1131.0,-233.0,595.0,-191.0
5,1529.39,275.5046,152.32,222.875,2.92,1663,175.0,9,133,49.89,1226.0,-218.5,665.0,-193.0
6,1625.26,297.7626,175.635,264.955,2.27,1792,235.5,3,138,53.76,1325.0,-233.5,690.0,-210.0
7,1543.08,308.3622,158.935,407.65,2.95,1686,182.0,9,139,50.58,1225.0,-230.5,695.0,-197.0
8,910.51,242.8418,199.34,188.12,5.27,967,228.0,9,79,29.01,718.0,-124.5,395.0,-107.0
9,1632.18,281.4164,147.355,329.4,8.13,2006,239.0,8,142,60.18,1406.0,-300.0,710.0,-244.0
10,988.0,257.701,94.875,277.845,2.67,1187,150.5,11,86,31.5,779.0,-135.5,430.0,-117.0
11,1424.93,363.8776,265.805,246.08,3.74,1563,360.0,8,124,44.43,1114.0,-183.5,620.0,-170.0
12,2410.34,289.5008,118.73,180.0,-0.73,2478,140.5,9,212,74.34,1860.0,-309.0,1060.0,-275.0
13,2191.81,234.5726,98.255,233.71,0.77,2577,140.0,6,194,77.31,1830.0,-373.5,970.0,-312.0
14,1184.06,247.002,120.545,245.94,-1.41,1302,148.0,3,101,39.06,962.0,-170.0,505.0,-152.0
15,1751.0,242.3358,158.645,223.335,0.3,1850,186.5,9,158,55.5,1357.0,-246.5,790.0,-205.0
16,1710.57,323.1878,183.37,243.48,0.65,1985,231.5,5,148,59.07,1418.0,-275.5,740.0,-231.0
17,1515.74,320.5122,187.12,394.46,8.09,1758,226.0,3,131,52.74,1262.0,-248.0,655.0,-206.0
18,1006.79,250.9004,118.245,165.92,2.95,1093,187.5,3,90,32.79,797.0,-148.0,450.0,-125.0
19,2470.12,332.2722,176.59,302.74,-1.31,3254,180.0,9,197,97.62,2285.0,-484.5,985.0,-413.0
20,1434.5,281.512,157.405,262.465,1.45,1700,161.5,7,117,51.0,1239.0,-230.5,585.0,-210.0
21,2083.29,337.5514,212.095,392.23,7.45,2343,211.0,14,181,70.29,1701.0,-321.0,905.0,-272.0
22,1689.08,333.2694,280.025,297.68,2.27,1836,295.5,5,155,55.08,1324.0,-256.0,775.0,-209.0
23,1150.45,245.0618,161.975,161.975,4.15,1265,183.0,21,97,37.95,938.0,-163.5,485.0,-147.0
24,1787.7,255.6924,130.99,167.305,0.77,1990,172.5,6,157,59.7,1442.0,-274.0,785.0,-225.0
25,2486.69,329.0058,215.685,245.425,0.35,2673,254.5,9,219,80.19,1970.0,-351.5,1095.0,-307.0
26,1397.22,280.3204,201.05,246.6,3.77,1574,239.0,9,120,47.22,1148.0,-213.0,600.0,-185.0
27,1564.18,253.3906,105.205,152.02,1.45,2106,146.5,3,130,63.18,1450.0,-328.0,650.0,-271.0
28,1808.53,224.19,119.965,261.28,-0.17,1801,132.5,8,161,54.03,1364.0,-218.5,805.0,-196.0
29,1185.56,271.8378,145.95,365.81,0.77,1381,199.0,6,107,40.56,960.0,-196.0,535.0,-154.0
30,1279.92,284.843,153.27,364.65,0.77,1364,212.0,9,108,40.92,1026.0,-169.0,540.0,-158.0
31,1000.96,265.3106,218.115,405.865,6.49,1132,263.0,9,84,33.96,830.0,-151.0,420.0,-132.0
32,1670.68,250.4544,114.845,168.79,2.27,1856,121.5,5,151,55.68,1334.0,-261.0,755.0,-213.0
33,753.56,262.4626,180.215,205.81,2.95,831,203.0,6,60,24.06,615.0,-93.5,300.0,-92.0
34,1853.63,226.5902,66.69,318.845,0.3,2021,131.5,3,168,60.63,1459.0,-281.0,840.0,-225.0
35,1839.88,204.188,60.765,451.165,0.77,1896,84.5,9,161,56.88,1422.0,-237.0,805.0,-207.0
36,1200.6,297.6768,121.4,618.475,1.42,1333,139.5,11,102,39.6,976.0,-172.0,510.0,-153.0
37,1747.56,251.2178,96.435,162.79,3.3,1952,126.0,9,152,58.56,1422.0,-265.0,760.0,-228.0
38,2032.81,300.6762,147.18,155.265,0.77,2327,146.0,9,180,69.81,1667.0,-330.0,900.0,-274.0
39,2338.5,295.535,98.01,87.705,-2.14,2850,113.0,10,201,85.5,2012.0,-419.0,1005.0,-345.0
40,770.09,230.6526,130.08,336.97,0.77,1056,181.0,6,70,22.59,570.0,-91.5,350.0,-81.0
41,1347.97,216.9068,74.185,204.095,0.65,1699,136.0,5,110,50.97,1205.0,-247.0,550.0,-211.0
42,1571.47,256.127,119.3,264.555,0.38,1749,173.0,5,138,52.47,1271.0,-239.0,690.0,-203.0
43,2145.27,329.3284,216.885,181.155,-0.73,2659,261.5,5,183,79.77,1870.0,-394.5,915.0,-325.0
44,958.74,171.3172,93.37,259.98,5.71,1158,90.0,7,83,34.74,820.0,-169.0,415.0,-142.0
45,1941.44,357.5192,158.61,429.34,1.45,2548,201.5,15,154,76.44,1796.0,-376.0,770.0,-325.0
46,1032.5,224.0518,165.655,281.155,3.18,1400,184.5,6,97,42.0,919.0,-240.5,485.0,-173.0
47,682.93,141.7404,76.135,120.83,-3.22,701,101.5,8,61,20.43,512.0,-84.5,305.0,-70.0
48,2134.58,315.5604,178.325,333.67,2.95,2436,202.5,11,191,73.08,1739.0,-348.5,955.0,-284.0
49,1482.47,301.3298,217.21,375.66,-2.51,1699,237.0,7,131,50.97,1216.0,-241.5,655.0,-198.0
50,1818.18,279.219,163.685,277.785,3.49,2133,197.5,9,161,57.18,1418.0,-244.0,805.0,-218.0
51,1019.55,273.9306,165.925,572.89,2.27,1291,176.5,5,94,35.55,829.0,-178.0,470.0,-137.0
52,1678.16,336.1442,249.315,229.3,2.13,1972,284.0,9,143,59.16,1420.0,-276.0,715.0,-240.0
53,1188.84,293.9806,196.385,215.055,6.35,1278,238.5,9,106,38.34,937.0,-170.5,530.0,-146.0
54,1167.04,243.928,119.95,248.29,0.65,1254,208.0,5,101,33.54,869.0,-124.5,505.0,-116.0
55,1661.48,265.468,111.435,205.27,2.88,1629,111.5,8,148,48.48,1234.0,-191.0,740.0,-170.0
56,1375.18,259.9808,105.56,273.945,5.13,1356,111.5,5,117,40.68,1051.0,-152.5,585.0,-149.0
57,1667.63,274.128,87.555,118.145,2.81,1821,119.5,9,143,54.63,1345.0,-238.0,715.0,-209.0
58,1144.49,238.115,119.39,168.32,-0.31,1333,137.0,20,96,39.99,966.0,-183.5,480.0,-158.0
59,1812.24,326.1706,197.065,294.95,5.27,2258,306.5,9,161,67.74,1561.0,-348.5,805.0,-273.0
60,1995.7,308.7158,197.195,318.215,2.81,2340,224.0,20,170,70.2,1687.0,-326.5,850.0,-285.0
61,1581.59,322.1214,223.3,426.73,1.45,1753,230.0,12,134,52.59,1291.0,-231.0,670.0,-201.0
62,1491.82,269.2832,137.75,322.855,1.45,1694,152.0,10,126,50.82,1240.0,-227.0,630.0,-202.0
63,1486.5,250.4652,136.025,387.21,1.45,1658,157.5,4,136,49.5,1180.0,-235.0,680.0,-188.0
64,997.58,262.7638,176.225,238.51,2.95,1051,212.5,7,83,29.58,770.0,-108.0,415.0,-109.0
65,1756.06,272.2688,113.96,188.21,0.77,1852,173.0,9,146,55.56,1403.0,-224.5,730.0,-208.0
66,1701.48,265.203,127.345,308.5,2.24,1762,139.5,8,149,48.48,1258.0,-179.0,745.0,-171.0
67,1632.44,236.1498,97.94,255.69,3.16,1698,123.5,10,137,50.94,1291.0,-203.5,685.0,-191.0
68,1569.4,247.795,150.395,248.34,-3.19,1480,177.5,3,138,44.4,1156.0,-162.0,690.0,-159.0
69,1581.57,272.233,226.54,346.48,-0.05,1469,243.0,9,144,44.07,1134.0,-167.5,720.0,-149.0
70,1821.31,336.487,167.935,167.935,6.49,1777,201.5,30,159,53.31,1369.0,-204.0,795.0,-192.0
71,1632.99,295.5606,166.315,346.66,0.16,1633,215.0,4,150,48.99,1217.0,-208.0,750.0,-175.0
72,1131.11,196.7848,92.995,221.19,-0.05,1087,107.0,5,97,32.61,850.0,-118.5,485.0,-118.0
73,970.73,210.561,175.16,274.01,2.27,941,182.5,7,84,28.23,730.0,-105.5,420.0,-102.0
74,1675.12,241.2552,117.825,166.895,3.3,1804,136.0,10,148,54.12,1324.0,-240.0,740.0,-203.0
75,1583.61,297.5326,181.785,318.6,0.39,1737,238.5,9,129,52.11,1304.0,-216.5,645.0,-201.0
76,1240.08,214.9784,118.655,259.16,2.48,1186,126.5,9,104,35.58,935.0,-125.5,520.0,-125.0
77,1312.49,243.7362,78.905,83.24,4.57,1733,117.5,5,109,51.99,1202.0,-265.5,545.0,-221.0
78,1797.08,273.7828,150.17,286.425,1.8,1986,158.5,5,156,59.58,1453.0,-266.5,780.0,-229.0
79,1131.14,239.6432,136.565,279.625,0.77,1188,146.0,5,97,35.64,893.0,-147.5,485.0,-135.0
80,1388.8,310.1474,126.435,291.73,5.81,1660,171.0,3,123,49.8,1168.0,-246.0,615.0,-198.0
81,1295.42,225.322,109.43,456.825,-1.41,1464,121.0,3,112,43.92,1063.0,-200.5,560.0,-171.0
82,1084.77,251.6102,148.36,228.015,-1.41,1209,175.5,3,89,36.27,898.0,-155.5,445.0,-139.0
83,4041.72,336.398,147.765,332.03,2.27,3874,167.5,9,355,116.22,2997.0,-438.5,1775.0,-408.0
84,2570.88,267.0904,89.165,189.925,0.98,2646,104.5,5,215,79.38,2025.0,-310.5,1075.0,-298.0
85,1759.18,351.4216,204.37,400.335,0.74,1706,256.5,6,152,51.18,1326.0,-190.0,760.0,-188.0
86,1701.44,332.368,149.675,215.91,-1.41,1748,196.0,3,153,52.44,1298.0,-225.0,765.0,-189.0
87,1660.62,283.5136,134.11,428.4,0.77,1554,167.5,9,153,46.62,1190.0,-182.0,765.0,-159.0
88,1186.29,251.0716,189.62,154.445,8.16,1093,174.5,6,104,32.79,864.0,-114.5,520.0,-116.0
89,1257.05,316.8204,293.02,359.965,-0.87,1135,277.5,10,117,34.05,877.0,-129.0,585.0,-110.0
90,2253.36,431.1092,256.9,558.055,4.15,2262,291.0,12,195,67.86,1725.0,-268.5,975.0,-246.0
91,3731.37,343.7594,159.135,146.64,1.66,3729,163.5,3,335,111.87,2808.0,-460.5,1675.0,-403.0
92,1630.42,335.348,177.055,309.025,2.15,1714,169.5,5,149,51.42,1254.0,-230.0,745.0,-190.0
93,2050.0,340.7754,234.39,319.47,2.48,2100,235.0,16,182,63.0,1574.0,-263.0,910.0,-234.0
94,1211.13,268.146,171.09,206.585,0.65,1171,190.0,5,109,35.13,895.0,-138.0,545.0,-126.0
95,1568.24,277.3174,145.84,130.865,2.27,1608,158.0,5,135,48.24,1216.0,-196.0,675.0,-175.0
96,1334.36,228.9984,97.51,482.435,7.15,1312,124.0,4,118,39.36,1000.0,-156.0,590.0,-139.0
97,1487.69,322.1176,163.285,419.295,-1.41,1423,180.0,3,120,42.69,1143.0,-140.0,600.0,-158.0
98,1581.23,393.037,238.695,280.41,4.17,1488,256.0,10,145,43.23,1119.0,-161.0,725.0,-145.0
99,1707.1,336.43,218.01,240.915,2.95,1670,225.0,11,145,50.1,1298.0,-186.0,725.0,-180.0
100,909.54,243.9388,153.215,181.8,0.65,968,148.0,5,77,29.04,727.0,-120.5,385.0,-111.0
101,1848.96,390.9448,182.365,348.415,-2.3,2028,197.5,9,171,51.96,1328.0,-202.0,855.0,-184.0
102,1576.36,299.7056,128.98,345.885,0.09,1562,154.0,3,136,46.86,1197.0,-182.5,680.0,-165.0
103,1892.7,373.7592,225.195,294.055,-0.85,2307,231.0,5,170,52.2,1357.0,-191.5,850.0,-175.0
104,2182.23,386.1298,215.41,195.19,1.8,2641,232.5,9,183,79.23,1887.0,-377.0,915.0,-322.0
105,2730.17,403.0998,194.51,332.825,7.17,3289,192.0,11,233,98.67,2340.0,-474.5,1165.0,-399.0
106,2309.34,372.7634,229.34,239.12,3.3,2578,217.0,10,195,77.34,1902.0,-338.0,975.0,-307.0
107,1818.08,293.9548,104.1,82.18,-1.41,1886,120.0,3,159,56.58,1411.0,-237.5,795.0,-207.0
108,1311.79,338.7288,200.725,109.68,-2.23,1371,251.5,9,119,37.29,954.0,-144.5,595.0,-130.0
109,1754.47,337.698,211.33,354.685,2.27,1699,249.5,9,161,50.97,1280.0,-209.5,805.0,-172.0
110,1047.63,258.2926,148.615,286.9,0.61,1171,160.5,15,93,35.13,844.0,-163.5,465.0,-133.0
111,1636.83,366.4806,193.25,223.145,-0.19,1661,205.0,9,143,49.83,1259.0,-201.0,715.0,-186.0
112,2162.92,278.4214,108.31,207.725,2.27,2214,100.5,9,179,66.42,1705.0,-254.5,895.0,-249.0
113,2293.34,288.4274,136.255,165.47,3.16,3153,124.0,15,192,69.84,1791.0,-268.5,960.0,-259.0
114,1596.42,236.4784,93.29,360.51,-0.73,1464,111.0,9,137,43.92,1167.0,-148.5,685.0,-151.0
115,1633.33,282.5474,168.115,264.19,3.42,2661,170.5,3,153,79.83,1648.0,-506.5,765.0,-353.0
116,996.1,204.3076,92.275,361.36,1.45,1020,116.5,9,93,30.6,747.0,-136.5,465.0,-110.0
117,1035.97,265.8232,165.055,419.65,2.67,1049,162.5,9,89,31.47,800.0,-124.5,445.0,-116.0
118,1852.01,345.4422,198.94,303.815,2.95,1817,255.5,3,161,54.51,1398.0,-209.5,805.0,-196.0
119,1458.37,377.8146,267.295,394.455,8.27,1329,276.5,9,132,39.87,1038.0,-145.5,660.0,-134.0
120,2358.46,458.0202,200.75,339.84,0.77,2282,223.0,8,202,68.46,1776.0,-253.0,1010.0,-243.0
121,1259.68,286.1504,139.49,145.04,3.98,1206,151.0,8,116,36.18,917.0,-144.5,580.0,-129.0
122,1858.11,242.2646,125.43,228.07,1.31,1787,175.0,16,165,53.61,1378.0,-204.5,825.0,-194.0
123,3379.97,367.457,97.185,230.8,-1.41,3099,110.5,3,302,92.97,2429.0,-335.0,1510.0,-317.0
124,1536.27,254.3742,125.975,373.77,-0.73,1659,116.0,7,130,49.77,1238.0,-210.5,650.0,-191.0
125,1440.41,286.5556,198.08,279.92,3.84,1447,188.5,8,125,43.41,1099.0,-174.0,625.0,-153.0
126,4071.9,494.6436,191.38,521.37,5.53,3830,230.0,8,365,114.9,2960.0,-435.0,1825.0,-393.0
127,2110.0,349.9746,225.37,477.705,-0.99,2150,253.0,5,184,64.5,1627.0,-261.5,920.0,-240.0
128,2227.78,302.8426,108.825,357.355,-7.83,2326,120.0,9,199,69.78,1726.0,-300.0,995.0,-263.0
129,1033.97,307.1884,149.285,496.67,3.98,1149,170.5,6,90,34.47,836.0,-156.5,450.0,-130.0
130,1639.27,256.2662,135.83,243.97,4.52,1609,152.5,8,146,48.27,1221.0,-194.0,730.0,-166.0
131,1682.28,395.4276,190.24,302.14,4.38,1812,221.0,20,148,44.28,1192.0,-142.0,740.0,-152.0
132,1507.53,213.205,107.095,236.81,0.63,1401,165.5,5,137,42.03,1080.0,-160.5,685.0,-139.0
133,1951.12,287.6728,120.14,503.035,2.13,2204,123.5,8,165,66.12,1610.0,-297.0,825.0,-253.0
134,1312.7,316.1704,218.085,323.435,-1.11,1249,218.5,5,113,35.7,952.0,-119.0,565.0,-121.0
135,1607.51,302.6198,188.7,377.115,2.15,1817,213.0,3,145,54.51,1295.0,-261.0,725.0,-206.0
136,1137.57,211.165,99.735,397.55,2.81,1119,110.5,6,97,33.57,869.0,-125.0,485.0,-125.0
137,1697.52,215.6478,84.025,508.13,-0.85,1634,85.0,4,149,49.02,1263.0,-185.5,745.0,-174.0
138,1309.13,242.7464,142.95,362.495,0.77,1271,137.0,5,115,38.13,977.0,-147.0,575.0,-134.0
139,1067.12,316.8132,150.955,437.695,-0.85,1104,173.5,5,89,33.12,842.0,-131.0,445.0,-122.0
140,2544.0,315.9796,149.21,249.735,-3.05,2300,201.0,13,228,69.0,1808.0,-246.0,1140.0,-227.0
141,1487.98,338.989,184.975,750.32,4.45,1466,202.0,9,126,43.98,1140.0,-163.0,630.0,-163.0
142,2931.67,350.5044,146.35,335.99,1.31,2889,170.0,9,263,86.67,2189.0,-350.0,1315.0,-309.0
143,2292.18,275.0288,96.18,268.925,3.77,2006,116.5,9,205,60.18,1610.0,-198.0,1025.0,-205.0
144,1440.38,271.3144,116.395,154.615,0.86,1296,130.5,9,129,38.88,1021.0,-137.5,645.0,-127.0
145,1155.92,263.4714,175.435,393.03,-2.35,1129,172.5,3,114,30.42,773.0,-120.5,570.0,-97.0
146,1383.74,235.3908,109.08,362.79,-0.76,1308,119.5,8,113,39.24,1049.0,-129.5,565.0,-140.0
147,935.42,221.1436,113.275,334.935,-0.43,908,135.0,8,87,25.92,661.0,-101.5,435.0,-85.0
148,1656.5,298.764,189.61,513.15,0.65,1650,179.5,5,151,49.5,1238.0,-206.0,755.0,-180.0
149,2154.85,328.2634,167.175,208.5,-0.43,1845,165.0,9,203,55.35,1458.0,-193.5,1015.0,-180.0
150,1405.18,284.864,188.705,388.69,0.77,1406,230.0,9,125,42.18,1062.0,-172.0,625.0,-152.0
151,1077.12,225.8892,146.11,181.64,3.3,1054,168.5,3,95,31.62,807.0,-123.5,475.0,-113.0
152,1098.12,214.908,104.405,268.925,2.67,1004,147.0,3,94,30.12,800.0,-102.0,470.0,-100.0
153,1381.18,272.8302,113.105,320.08,3.7,1506,126.0,3,121,45.18,1100.0,-203.0,605.0,-166.0
154,1288.85,273.9358,144.99,561.17,1.8,1195,157.0,8,114,35.85,935.0,-130.0,570.0,-122.0
155,1318.6,186.2652,105.535,299.425,0.65,1070,117.0,5,127,32.1,855.0,-107.5,635.0,-96.0
156,3123.17,413.5076,219.255,453.105,3.21,3339,251.5,9,273,100.17,2473.0,-433.0,1365.0,-382.0
157,1989.15,348.3478,123.925,765.52,-1.41,1855,140.0,3,173,55.65,1458.0,-198.5,865.0,-191.0
158,1503.91,247.5306,92.515,405.98,0.77,1497,106.5,9,120,44.91,1181.0,-158.0,600.0,-164.0
159,2319.98,273.2172,84.77,391.81,-0.87,2316,110.0,5,210,69.48,1737.0,-289.5,1050.0,-247.0
160,2394.44,277.5108,131.115,388.45,-1.88,2398,157.5,4,208,71.94,1827.0,-285.5,1040.0,-259.0
161,2194.28,307.9332,171.06,291.15,-0.52,2276,168.5,4,190,68.28,1706.0,-285.0,950.0,-245.0
162,1792.91,324.051,189.92,221.35,0.77,1647,188.0,9,162,49.41,1280.0,-183.5,810.0,-163.0
163,1962.19,256.1656,71.91,350.25,2.13,2023,78.5,8,169,60.69,1528.0,-247.5,845.0,-224.0
164,1599.23,224.981,89.025,255.88,-5.07,1591,124.0,3,142,47.73,1206.0,-192.5,710.0,-172.0
165,1667.22,313.6636,120.905,200.815,1.8,1774,113.5,3,134,53.22,1356.0,-209.0,670.0,-203.0
166,2318.22,258.7638,70.9,210.865,0.18,2124,115.5,6,207,63.72,1667.0,-228.5,1035.0,-219.0
167,1716.94,238.459,60.565,473.56,-2.23,1698,70.5,5,151,50.94,1296.0,-201.0,755.0,-184.0
