generation,best_score,mean_score,median_score,elite_median_score,worst_score,best_turns,median_turns,worst_turns,best_food_eaten,best_sc_survival,best_sc_towards,best_sc_against,best_sc_ate,best_sc_bomb
1,24.3733,2.9851,2.4683,6.6617,-1.8167,68,11.2,3,2.0,2.04,37.333,-15.333,10.0,-9.667
2,35.13,6.2639,4.81,7.255,-2.0833,188,20.0,3,2.3333333333333335,5.63,94.0,-46.833,11.667,-29.333
3,88.7767,7.8751,5.685,5.6167,-0.9367,170,23.7,5,6.333333333333333,5.11,107.0,-31.667,31.667,-23.333
4,46.1733,10.6798,7.1317,4.6883,-2.3867,130,25.2,5,3.6666666666666665,2.34,49.667,-14.167,18.333,-10.0
5,60.7933,14.8117,9.6833,4.6383,-2.3967,125,35.3,5,5.0,3.46,70.667,-22.333,25.0,-16.0
6,99.7267,17.5107,13.285,5.8617,-4.23,235,49.8,3,8.333333333333334,7.06,135.333,-50.0,41.667,-34.333
7,56.4,15.3401,9.415,6.2483,-1.41,126,37.0,3,5.0,3.4,66.667,-23.333,25.0,-15.333
8,58.5167,16.8785,13.9433,7.0767,-1.6933,128,56.7,5,4.666666666666667,3.85,75.667,-26.333,23.333,-18.0
9,63.05,21.2233,17.52,8.7183,1.5667,168,46.5,7,5.666666666666667,5.05,91.667,-38.333,28.333,-23.667
10,65.3167,19.0929,14.135,8.03,-1.06,155,49.8,3,6.333333333333333,4.65,85.0,-35.0,31.667,-21.0
11,91.8233,23.3345,21.1733,9.4083,1.1033,250,67.5,9,7.333333333333333,7.49,140.333,-54.667,36.667,-38.0
12,66.6767,20.3061,17.8917,15.5517,-1.2133,221,50.7,3,4.666666666666667,5.51,104.667,-39.5,23.333,-27.333
13,77.8133,19.63,14.6517,12.2983,-0.41,183,47.2,3,6.333333333333333,5.48,105.333,-38.667,31.667,-26.0
14,82.11,21.1939,17.0,13.11,-4.0833,187,48.7,9,6.666666666666667,5.61,108.667,-39.167,33.333,-26.333
15,104.71,24.5581,22.7,12.7083,-1.4767,274,50.8,3,9.666666666666666,8.21,149.333,-62.167,48.333,-39.0
16,79.32,18.014,15.7483,13.355,-2.9167,244,43.8,6,6.333333333333333,7.32,132.667,-55.667,31.667,-36.667
17,71.8967,20.9104,15.1817,7.21,-3.2233,213,54.3,5,5.666666666666667,5.23,100.333,-37.0,28.333,-25.0
18,91.6533,24.1285,18.7983,14.3217,0.7,277,59.2,7,7.333333333333333,8.32,151.333,-63.0,36.667,-41.667
19,125.8467,29.1205,22.1717,9.645,-2.2933,339,66.8,6,10.666666666666666,10.18,188.0,-75.667,53.333,-50.0
20,90.0467,25.7968,22.1633,15.3867,-3.05,249,68.2,10,7.666666666666667,6.88,129.0,-50.167,38.333,-34.0
21,125.5033,23.8733,17.0783,17.6083,-4.2867,306,53.3,5,11.0,9.17,173.0,-66.333,55.0,-45.333
22,96.3133,28.6171,21.055,11.9317,-0.4033,283,60.3,5,7.666666666666667,8.48,155.667,-63.5,38.333,-42.667
23,79.2,22.6828,19.0667,22.5033,-3.7167,240,52.0,3,7.0,7.2,128.0,-56.0,35.0,-35.0
24,100.6967,24.4358,17.9567,12.4567,-1.8333,268,53.3,3,8.333333333333334,8.03,149.0,-59.333,41.667,-38.667
25,106.7833,29.6521,20.4117,18.0683,-0.5533,332,73.8,9,8.666666666666666,9.95,180.0,-75.833,43.333,-50.667
26,80.7833,29.3561,25.1633,23.9867,-0.2467,232,73.2,3,6.333333333333333,6.95,128.0,-51.833,31.667,-34.0
27,165.72,30.3535,23.6783,25.8383,-1.1933,491,71.3,5,13.333333333333334,14.72,268.667,-111.0,66.667,-73.333
28,113.76,29.1835,27.2317,21.3867,-3.78,342,84.2,3,9.0,10.26,187.0,-77.5,45.0,-51.0
