generation,best_score,mean_score,median_score,elite_median_score,worst_score,best_turns,median_turns,worst_turns,best_food_eaten,best_sc_survival,best_sc_towards,best_sc_against,best_sc_ate,best_sc_bomb
1,1250.5733,369.031,354.3133,750.2367,-0.41,1341,415.8,3,95.33333333333333,40.24,1039.333,-151.0,476.667,-154.667
2,1988.2,362.576,276.4733,498.015,0.09,2190,332.2,3,155.33333333333334,65.7,1663.0,-263.5,776.667,-253.667
3,1405.48,376.7438,302.1283,616.4383,-1.41,1583,344.2,3,107.0,47.48,1200.667,-191.0,535.0,-186.667
4,1398.2567,346.6751,271.6533,413.01,-1.0167,1536,316.5,5,108.66666666666667,46.09,1170.0,-183.167,543.333,-178.0
5,1253.5367,321.7999,256.835,414.5483,-1.41,1529,318.0,3,88.33333333333333,45.87,1147.0,-191.0,441.667,-190.0
6,1383.8667,267.3319,179.6783,416.2717,-2.4467,1540,214.0,3,104.33333333333333,46.2,1178.0,-181.0,521.667,-181.0
7,1729.5033,325.2517,277.4717,369.2133,-1.84,1972,332.7,3,131.0,59.17,1491.0,-240.667,655.0,-235.0
8,1053.1333,304.4043,249.9617,514.6,-1.41,1227,326.7,3,75.66666666666667,36.8,933.333,-146.667,378.333,-148.667
9,846.8767,263.9599,207.595,361.0317,-0.91,990,263.2,3,66.66666666666667,29.71,732.667,-128.833,333.333,-120.0
10,967.0033,291.8922,193.0817,487.7433,-1.41,1106,247.2,3,66.33333333333333,33.17,860.667,-122.5,331.667,-136.0
11,1592.21,416.7783,318.3917,531.805,-1.41,1724,409.0,3,115.0,51.71,1354.667,-184.5,575.0,-204.667
12,976.05,301.2145,271.0783,565.9017,-1.41,1052,305.8,3,77.0,31.55,803.333,-124.167,385.0,-119.667
13,1543.1067,331.8429,267.995,378.2467,-2.0067,1731,297.5,3,119.33333333333333,51.94,1310.333,-210.5,596.667,-205.333
14,1460.5533,369.611,347.355,378.5967,-1.9967,1607,411.2,6,111.66666666666667,48.22,1230.0,-188.667,558.333,-187.333
15,2249.32,328.6275,135.685,547.3283,-1.41,2627,199.8,3,164.0,78.82,1988.333,-319.5,820.0,-318.333
16,1380.9333,298.0469,243.7333,478.4283,-1.4833,1587,329.5,8,102.0,47.6,1206.667,-190.0,510.0,-193.333
17,1194.01,338.7743,317.3167,654.9817,-2.07,1267,450.3,8,92.33333333333333,38.01,983.0,-142.0,461.667,-146.667
18,2081.94,362.9939,282.9017,458.5683,-1.41,2298,349.0,3,158.0,68.94,1762.667,-267.667,790.0,-272.0
19,1177.27,287.8225,234.625,337.0183,-4.02,1326,291.0,3,88.66666666666667,39.77,1008.667,-158.5,443.333,-156.0
20,2221.75,368.0056,254.8117,593.22,-0.7467,2475,312.2,3,172.0,74.25,1874.667,-300.167,860.0,-287.0
21,1400.53,254.2461,178.0567,422.68,-0.91,1668,202.7,3,101.33333333333333,50.03,1255.333,-206.167,506.667,-205.333
22,979.36,284.2478,239.4883,357.6733,-0.99,1162,288.7,7,74.0,34.86,863.0,-149.5,370.0,-139.0
23,895.7367,218.0708,168.6583,332.8867,-1.41,1069,195.0,3,64.33333333333333,32.07,805.667,-131.667,321.667,-132.0
24,1481.3133,292.4141,227.8917,488.85,-1.41,1649,321.2,3,110.33333333333333,49.48,1267.0,-191.167,551.667,-195.667
25,1072.63,323.9265,272.17,319.1467,-3.42,1336,327.5,3,86.0,35.13,884.667,-143.167,430.0,-134.0
26,1009.6167,305.6509,222.0683,463.1317,-1.2167,1132,301.2,11,77.0,33.95,859.667,-136.0,385.0,-133.0
27,1277.6833,277.7226,188.2667,508.3317,-1.06,1362,277.3,3,99.66666666666667,40.85,1049.333,-156.167,498.333,-154.667
28,928.5667,262.505,212.7717,413.0533,-1.41,1312,244.0,3,71.33333333333333,31.9,798.667,-132.333,356.667,-126.333
29,1704.18,309.7489,183.1617,635.845,-1.41,2056,226.2,3,120.66666666666667,61.68,1549.0,-253.5,603.333,-256.333
30,1538.5533,372.7756,345.8633,662.4467,-0.41,1657,408.3,3,121.66666666666667,49.72,1266.333,-195.5,608.333,-190.333
31,1464.2333,301.685,266.345,263.145,-1.41,1647,289.8,3,111.66666666666667,49.4,1249.667,-198.5,558.333,-194.667
32,1100.8933,252.9707,237.025,572.0033,-1.41,1352,269.0,3,77.0,40.56,1014.667,-168.667,385.0,-170.667
33,1222.1667,271.5111,167.04,508.1617,-1.41,1300,213.2,3,97.33333333333333,39.0,996.333,-151.833,486.667,-148.0
34,1106.7733,228.5892,197.0333,304.9333,-1.41,1248,213.5,3,82.33333333333333,37.44,954.667,-146.667,411.667,-150.333
35,1266.1833,353.2858,195.4367,616.8,-1.1933,1419,345.3,5,100.66666666666667,40.35,1032.667,-156.167,503.333,-154.0
36,1102.5033,324.0205,296.4117,454.0517,1.0533,1239,349.0,7,82.66666666666667,37.17,947.0,-146.0,413.333,-149.0
37,943.3933,305.1853,238.0567,502.02,2.23,1018,336.5,8,69.66666666666667,30.06,788.667,-106.667,348.333,-117.0
38,1215.6267,347.1955,285.275,551.985,-1.71,1399,356.5,3,89.0,41.96,1065.333,-166.667,445.0,-170.0
39,964.05,303.5941,229.6333,539.2483,-1.67,1185,303.2,3,70.33333333333333,35.55,877.333,-153.833,351.667,-146.667
40,2289.48,369.6779,240.63,263.1167,-0.91,2666,279.7,3,171.0,79.98,2007.0,-329.5,855.0,-323.0
41,1289.0633,263.8296,190.9267,377.29,-1.41,1391,259.2,3,102.0,41.73,1061.667,-164.667,510.0,-159.667
42,1146.5467,350.8911,294.6983,491.69,-0.41,1229,375.0,3,87.66666666666667,36.88,952.667,-138.333,438.333,-143.0
43,1142.26,360.4271,374.2767,475.1267,0.4267,1225,467.3,9,84.66666666666667,36.76,958.333,-133.5,423.333,-142.667
44,1063.9233,357.2882,341.5017,533.6967,-0.91,1220,393.0,3,78.33333333333333,36.59,927.667,-146.0,391.667,-146.0
45,1358.83,270.4508,186.7117,353.475,-1.31,1478,279.8,4,108.33333333333333,44.33,1120.667,-178.5,541.667,-169.333
46,1066.84,333.389,274.3467,533.4517,-1.7567,1231,327.5,6,82.0,35.34,899.667,-139.167,410.0,-139.0
47,842.3267,275.6431,258.3033,494.9317,-0.3233,1329,317.7,6,60.333333333333336,30.66,765.333,-128.333,301.667,-127.0
48,840.2467,291.5575,250.7417,541.135,-1.41,969,328.8,3,61.666666666666664,29.08,736.333,-116.5,308.333,-117.0
49,1655.61,389.4654,360.6133,458.315,-1.41,2070,389.5,3,123.33333333333333,62.11,1514.0,-278.167,616.667,-259.0
50,2208.9567,344.478,237.3833,356.9833,-1.0367,2643,370.7,4,156.0,79.29,1999.667,-321.667,780.0,-328.333
51,1251.9267,337.5851,307.5667,474.685,-0.1633,1475,354.7,6,93.66666666666667,44.26,1102.667,-186.333,468.333,-177.0
52,1192.8167,370.8667,361.31,586.7133,-4.2267,1594,441.8,6,88.33333333333333,38.65,1004.667,-141.833,441.667,-150.333
53,899.6033,258.802,183.3733,448.1983,-1.5067,1009,320.8,3,65.66666666666667,30.27,775.667,-116.667,328.333,-118.0
54,1077.1467,307.5613,163.85,544.9183,-1.41,1183,224.0,3,80.33333333333333,35.48,914.0,-134.333,401.667,-139.667
55,1012.5367,238.3395,185.215,426.8,-1.41,1196,236.5,3,75.0,35.87,897.0,-149.333,375.0,-146.0
56,1141.6133,319.2653,297.1283,656.8833,-0.4267,1309,350.0,3,87.33333333333333,39.28,982.667,-163.333,436.667,-153.667
57,1088.58,322.2171,269.585,385.4617,-1.41,1261,317.3,3,83.66666666666667,36.08,918.333,-142.167,418.333,-142.0
58,1804.1333,358.2713,305.655,377.5483,-1.41,2110,360.2,3,133.0,63.3,1591.667,-259.167,665.0,-256.667
59,1436.47,369.9129,328.7467,669.06,-0.41,1566,361.0,3,107.66666666666667,46.97,1209.333,-178.167,538.333,-180.0
60,1048.91,290.4125,239.1367,587.915,-1.41,1280,265.7,3,75.33333333333333,38.41,955.333,-162.5,376.667,-159.0
61,1451.9633,343.5259,321.9733,573.27,-4.74,1621,357.5,3,109.33333333333333,48.63,1239.667,-190.667,546.667,-192.333
62,812.3067,252.4264,230.4483,354.46,-0.91,905,271.0,3,60.333333333333336,27.14,695.667,-104.5,301.667,-107.667
63,1496.0333,261.9043,169.0817,409.54,-1.41,1773,231.2,3,110.33333333333333,53.2,1329.0,-222.167,551.667,-215.667
64,1523.2067,331.1532,227.4517,644.525,-0.91,1785,283.0,3,111.0,53.54,1350.667,-217.0,555.0,-219.0
65,1568.19,445.1799,471.7133,528.0733,-0.41,1790,528.3,3,118.0,53.69,1355.333,-217.167,590.0,-213.667
66,1961.5967,456.684,402.39,552.965,-2.6633,2314,444.0,3,144.33333333333334,69.43,1740.667,-286.833,721.667,-283.333
67,1012.17,258.4617,163.5333,359.0217,-1.4067,1189,197.8,3,78.33333333333333,35.67,881.333,-153.833,391.667,-142.667
68,1170.01,284.9194,209.8683,360.1567,-2.1933,1434,234.5,5,83.0,43.01,1072.333,-180.667,415.0,-179.667
69,1107.0,403.457,316.31,860.5033,-1.35,1314,422.8,3,83.66666666666667,36.5,935.667,-140.5,418.333,-143.0
70,1715.92,382.5149,293.2483,513.32,-1.41,1947,328.5,3,128.0,58.42,1481.667,-232.833,640.0,-231.333
71,1504.4667,270.3487,154.365,453.8783,-1.41,1877,278.8,3,107.0,56.3,1391.667,-242.5,535.0,-236.0
