generation,best_score,mean_score,median_score,elite_median_score,worst_score,best_turns,median_turns,worst_turns,best_food_eaten,best_sc_survival,best_sc_towards,best_sc_against,best_sc_ate,best_sc_bomb
1,24.6033,3.4992,2.6417,9.4367,-2.35,80,9.5,3,1.3333333333333333,1.27,29.0,-6.667,6.667,-5.667
2,22.3,4.9929,4.2167,6.6183,-2.3967,50,12.2,3,2.0,0.8,18.333,-4.167,10.0,-2.667
3,29.93,7.699,6.5717,6.83,-1.41,76,14.3,3,2.3333333333333335,0.93,23.667,-3.667,11.667,-2.667
4,33.6933,6.1011,4.2233,7.6517,-1.7233,45,15.3,3,2.6666666666666665,1.36,31.333,-7.0,13.333,-5.333
5,23.26,6.4973,6.1117,7.3933,-2.6633,60,13.3,3,1.0,1.26,29.333,-6.333,5.0,-6.0
6,59.3467,7.6542,6.0917,8.1167,-1.6633,121,13.8,3,4.0,2.68,62.0,-13.667,20.0,-11.667
7,37.17,8.9451,6.7917,9.3433,-1.85,95,16.8,3,2.3333333333333335,1.67,39.333,-8.167,11.667,-7.333
8,61.0067,12.2627,7.7417,9.84,-1.35,111,21.3,3,3.6666666666666665,3.34,73.333,-19.0,18.333,-15.0
9,32.2333,10.2526,7.05,9.8733,-0.7867,132,23.0,3,3.0,1.4,29.667,-8.5,15.0,-5.333
10,71.0733,14.2387,10.0783,10.0033,-1.41,125,23.7,3,5.0,3.74,81.333,-21.667,25.0,-17.333
11,79.8133,14.5338,8.6033,7.2683,-1.6933,166,21.7,4,2.6666666666666665,4.98,113.0,-26.5,13.333,-25.0
12,48.2067,12.2958,10.72,13.2467,-1.6933,101,27.8,3,3.0,3.04,63.667,-18.833,15.0,-14.667
13,66.1,14.6495,11.8883,10.7767,0.51,87,31.0,3,5.666666666666667,2.6,59.667,-13.5,28.333,-11.0
14,56.58,15.8803,11.2067,12.975,-1.35,86,29.8,5,3.3333333333333335,2.58,61.333,-12.333,16.667,-11.667
15,79.73,18.1145,8.8183,14.3633,-2.4967,141,26.0,4,4.666666666666667,4.23,94.667,-23.167,23.333,-19.333
16,99.86,13.5991,9.13,12.1583,-2.32,145,20.2,3,6.333333333333333,4.36,103.667,-20.833,31.667,-19.0
17,59.59,13.1962,9.085,10.0733,-1.85,103,27.2,4,3.0,3.09,71.333,-15.833,15.0,-14.0
18,84.3367,20.797,15.51,17.3083,-1.6,139,29.5,3,5.0,4.17,96.0,-21.5,25.0,-19.333
19,106.1433,23.7225,13.94,13.5683,-1.41,144,29.8,3,7.0,4.31,105.333,-19.167,35.0,-19.333
20,107.1567,21.6843,11.7183,16.64,-1.41,166,30.0,3,6.333333333333333,4.99,118.0,-24.167,31.667,-23.333
21,91.0,24.4355,20.915,16.28,-3.02,150,32.0,3,4.666666666666667,4.5,106.333,-21.833,23.333,-21.333
22,143.41,21.7914,18.5467,20.99,-1.41,230,34.3,3,7.333333333333333,6.91,165.333,-32.5,36.667,-33.0
23,105.5833,24.8151,17.8383,22.2333,-3.2267,175,31.8,3,6.0,5.25,121.667,-26.667,30.0,-24.667
24,79.69,25.5373,20.475,26.415,0.84,123,41.7,4,4.0,3.69,89.667,-16.667,20.0,-17.0
25,144.37,27.1735,18.95,25.455,-1.41,246,36.2,3,6.666666666666667,7.37,175.0,-35.333,33.333,-36.0
26,219.3167,27.2866,17.2933,30.1617,-2.6833,322,40.3,3,15.0,9.65,226.333,-47.667,75.0,-44.0
27,128.5933,27.5006,20.2533,26.2,-1.0667,209,38.8,3,7.0,6.26,147.333,-30.667,35.0,-29.333
28,157.0933,33.6548,25.0933,22.825,-2.9133,242,39.8,7,9.666666666666666,7.26,171.0,-35.5,48.333,-34.0
29,254.4333,48.478,31.5733,59.3267,-2.35,403,40.8,5,15.666666666666666,12.1,282.0,-60.667,78.333,-57.333
30,193.47,38.0994,29.38,40.9433,-2.67,316,49.0,3,10.666666666666666,9.47,222.333,-46.667,53.333,-45.0
31,164.17,42.3963,36.12,45.22,2.6367,206,58.0,9,12.333333333333334,6.17,150.333,-27.667,61.667,-26.333
32,201.27,39.5939,22.6517,68.225,-1.0067,309,41.2,5,13.666666666666666,7.77,191.333,-33.833,68.333,-32.333
33,147.0567,34.2902,25.665,45.905,-2.9267,196,39.3,3,9.0,5.89,146.667,-24.833,45.0,-25.667
34,174.53,30.6659,19.8233,39.6783,-0.85,218,34.7,3,12.333333333333334,6.53,161.667,-28.0,61.667,-27.333
35,189.2833,31.6589,17.1667,48.6517,-2.62,232,29.7,5,14.0,6.95,170.333,-30.667,70.0,-27.333
36,249.0367,33.1743,18.2833,54.3067,-4.1467,412,46.7,3,15.0,12.37,284.333,-64.0,75.0,-58.667
37,133.7133,35.3622,26.5717,73.1467,-1.6333,150,46.7,5,10.0,3.88,105.667,-11.833,50.0,-14.0
38,142.06,31.0382,19.475,51.355,-1.9667,219,43.7,3,7.333333333333333,6.56,159.667,-29.5,36.667,-31.333
39,150.49,33.9676,23.7417,51.625,-1.41,238,45.2,3,10.333333333333334,5.99,145.333,-27.167,51.667,-25.333
40,193.13,38.8045,25.1333,58.635,-1.41,258,44.5,3,12.666666666666666,7.13,181.0,-28.333,63.333,-30.0
41,161.83,34.6866,23.5467,58.235,-1.3233,194,39.3,3,12.333333333333334,5.83,143.0,-25.667,61.667,-23.0
42,139.9033,45.4117,33.775,53.0817,-0.0233,202,53.8,3,9.333333333333334,6.07,144.0,-29.167,46.667,-27.667
43,419.3933,58.5082,37.9683,68.44,-1.41,685,63.2,3,23.0,20.56,483.0,-101.167,115.0,-98.0
44,151.0033,39.35,27.9917,65.005,-1.41,206,51.3,3,10.666666666666666,6.17,148.0,-28.833,53.333,-27.667
45,151.6233,52.0617,42.1583,68.8517,-1.41,276,66.0,3,6.666666666666667,8.29,193.0,-41.667,33.333,-41.333
46,167.05,47.3886,42.72,57.91,-1.34,255,62.5,5,10.333333333333334,7.05,173.0,-31.0,51.667,-33.667
47,206.94,55.385,45.36,57.3033,-0.41,333,65.7,3,14.666666666666666,8.94,208.667,-44.667,73.333,-39.333
48,189.2467,51.9759,36.77,77.975,-1.0367,303,67.0,4,10.333333333333334,9.08,215.667,-43.5,51.667,-43.667
49,154.4433,43.2123,38.8433,68.2317,-2.6633,237,59.3,4,8.0,7.11,173.0,-32.0,40.0,-33.667
50,323.25,57.3945,38.9117,78.9217,-1.41,542,66.7,3,17.666666666666668,16.25,379.0,-81.333,88.333,-79.0
51,178.6033,47.8941,36.36,64.1917,-1.5533,259,56.5,8,10.666666666666666,7.77,188.0,-35.5,53.333,-35.0
52,240.4567,56.1149,48.5233,62.145,-0.64,376,67.0,6,12.666666666666666,11.29,272.0,-52.167,63.333,-54.0
53,190.71,56.1325,41.84,64.16,-2.8267,307,62.8,8,11.0,9.21,215.333,-45.833,55.0,-43.0
54,150.2133,46.1427,31.5567,81.5767,1.5067,228,50.8,6,10.0,5.88,144.667,-25.667,50.0,-24.667
55,158.7733,38.5626,23.4767,45.2083,-1.9367,215,37.5,3,10.666666666666666,6.44,156.667,-29.0,53.333,-28.667
56,255.6333,53.7037,40.3017,81.92,-2.1533,427,63.3,5,13.0,12.8,301.667,-62.5,65.0,-61.333
57,239.88,59.7987,48.0,72.77,-2.0367,379,69.0,3,14.0,11.38,268.333,-55.5,70.0,-54.333
58,219.2533,48.3557,37.1067,67.5283,-1.41,347,63.0,3,14.333333333333334,10.42,239.0,-54.167,71.667,-47.667
59,299.5,54.1959,29.1883,82.1133,-1.67,467,52.0,3,17.666666666666668,14.0,331.0,-67.833,88.333,-66.0
60,212.4233,58.7734,47.86,66.5283,-2.5833,320,70.0,3,13.666666666666666,9.59,225.333,-47.167,68.333,-43.667
61,218.0267,55.6605,32.72,74.5783,-0.6033,312,62.7,7,14.666666666666666,9.36,222.0,-45.0,73.333,-41.667
62,190.4533,59.935,50.1633,83.9417,-1.85,401,63.8,3,12.666666666666666,8.62,201.0,-43.167,63.333,-39.333
63,203.53,52.1068,46.99,85.3817,-0.6633,284,72.3,6,12.666666666666666,8.53,208.333,-38.0,63.333,-38.667
64,247.3867,54.0871,34.5683,84.095,-0.16,357,55.0,3,15.0,10.72,259.333,-49.0,75.0,-48.667
65,289.6067,60.6639,27.5883,89.0583,0.0733,448,45.2,7,18.333333333333332,13.44,314.333,-66.833,91.667,-63.0
66,164.2,48.8598,39.1567,77.8733,-0.81,257,60.8,9,10.333333333333334,7.7,179.0,-38.833,51.667,-35.333
67,347.04,64.7753,28.1433,123.285,-1.06,535,57.5,3,20.333333333333332,16.04,380.667,-77.0,101.667,-74.333
68,326.7367,64.042,37.8733,64.7067,-1.41,486,68.8,3,22.0,14.57,340.667,-72.5,110.0,-66.0
69,213.0433,62.2931,54.2683,92.37,-1.3967,290,80.3,5,14.333333333333334,8.71,211.667,-39.333,71.667,-39.667
70,213.7933,52.1298,33.6533,78.3633,-0.4533,299,64.7,10,13.666666666666666,8.96,217.0,-40.833,68.333,-39.667
71,197.5433,51.9537,26.7483,118.895,-2.4033,307,54.7,3,11.0,9.21,220.333,-43.333,55.0,-43.667
72,226.0733,44.4711,35.375,73.3183,-1.0667,341,50.7,3,14.333333333333334,10.24,241.0,-50.167,71.667,-46.667
73,193.0,46.0894,29.5933,80.2583,-1.41,286,57.7,3,12.666666666666666,8.0,192.667,-37.0,63.333,-34.0
74,223.9967,52.6161,34.0183,99.935,-1.5367,294,50.2,4,16.0,8.83,213.333,-40.5,80.0,-37.667
