generation,best_score,mean_score,median_score,worst_score
1,12.5,-3.84,-3.5,-20.5
2,21.5,-3.4,-4.5,-16.0
3,28.0,-0.32,0.0,-50.5
4,41.0,4.86,1.25,-12.5
5,77.5,1.27,1.5,-51.0
6,77.0,6.66,3.0,-32.5
7,71.5,12.09,4.0,-27.0
8,108.5,16.03,5.5,-50.5
9,126.5,16.32,4.0,-17.5
10,82.5,15.52,10.5,-50.5
11,62.5,9.21,4.5,-25.0
12,90.0,10.42,4.25,-34.0
13,79.0,14.32,8.0,-14.0
14,125.5,27.14,17.5,-7.5
15,145.5,21.39,11.0,-29.5
16,78.5,18.43,15.5,-27.0
17,116.0,22.16,15.0,-10.0
18,126.0,24.52,19.5,-23.0
19,129.5,24.09,14.75,-32.5
20,186.5,20.34,7.5,-37.0
21,134.0,21.72,10.0,-10.5
22,204.5,32.21,18.0,-50.5
23,157.0,28.52,14.25,-14.0
24,105.5,17.4,12.5,-51.5
25,192.5,31.93,23.75,-17.5
26,141.0,28.91,15.5,-50.5
27,96.5,14.44,11.5,-51.0
28,112.0,18.88,11.25,-48.0
29,133.5,12.27,8.75,-51.5
30,102.5,18.67,18.75,-40.5
31,67.0,19.02,15.75,-16.0
32,141.0,25.01,16.75,-7.5
33,174.5,32.19,25.25,-24.0
34,87.5,14.06,9.75,-34.0
35,108.5,20.62,16.0,-47.5
36,135.0,17.61,11.25,-43.5
37,91.0,19.44,15.0,-38.5
38,85.0,19.5,13.25,-29.0
39,109.5,19.73,12.25,-25.5
40,84.0,21.27,17.5,-18.5
41,172.0,15.71,8.75,-43.0
42,135.0,21.5,14.5,-23.0
43,130.5,29.27,21.5,-7.5
44,118.0,23.64,15.25,-50.5
45,119.5,25.23,17.25,-18.5
46,126.0,21.72,18.0,-27.0
47,185.5,16.5,12.0,-50.5
48,135.0,27.17,15.0,-20.0
49,114.0,32.06,22.5,-51.0
50,164.5,30.06,13.25,-51.0
51,117.5,27.71,14.25,-29.5
52,152.0,26.43,15.5,-19.0
53,154.0,26.76,16.0,-21.5
54,136.5,24.65,10.5,-20.0
55,110.0,24.77,16.5,-16.5
56,102.5,25.06,18.0,-17.0
57,89.5,20.33,11.25,-20.0
58,126.5,24.99,12.75,-9.5
59,133.5,23.5,17.0,-51.0
60,130.0,23.7,11.0,-32.0
61,208.5,27.73,13.75,-27.5
62,140.0,23.11,15.0,-28.0
63,135.0,21.01,14.5,-51.0
64,169.0,29.35,17.25,-51.0
65,119.0,36.12,24.5,-1.0
66,134.0,24.14,15.25,-12.0
67,298.5,33.13,13.25,-41.5
68,214.0,38.89,15.25,-12.5
69,192.5,29.84,15.25,-7.0
70,256.5,33.34,14.5,-51.5
71,126.0,21.34,11.5,-23.0
72,134.5,28.38,18.25,-11.0
73,124.5,27.66,14.75,-22.0
74,154.0,27.59,21.75,-7.5
75,136.0,26.76,12.25,-20.0
76,123.0,27.22,13.5,-35.5
77,147.0,34.04,24.75,-26.5
78,97.0,23.17,16.75,-18.0
79,209.0,37.1,23.5,-13.0
80,173.5,27.42,19.25,-24.0
81,202.5,31.03,18.0,-31.0
82,104.5,30.32,19.75,-7.5
83,186.5,29.12,13.0,-7.5
84,205.0,39.32,25.0,-34.5
85,190.0,32.17,18.75,-44.5
86,165.0,22.86,19.75,-28.5
87,107.0,25.59,16.25,-46.0
88,236.5,30.16,18.25,-37.0
89,148.0,29.54,11.75,-51.0
90,157.0,24.35,11.75,-9.0
91,142.0,25.57,16.75,-22.0
92,184.5,35.98,22.5,-24.5
93,99.0,20.99,15.25,-50.5
94,103.5,20.99,13.75,-21.0
95,134.5,31.76,25.75,-8.0
96,316.0,39.03,20.25,-51.0
97,94.0,27.63,20.0,-10.5
98,158.5,34.83,25.75,-51.0
99,191.0,35.61,19.5,-10.0
100,108.0,29.77,25.0,-43.5
