generation,best_score,mean_score,median_score,worst_score,best_turns,median_turns,worst_turns
1,19.19,-4.4786,-2.645,-44.69,81,9.0,3
2,15.63,-4.7814,-1.47,-49.63,87,7.0,3
3,13.15,1.0242,1.62,-21.49,59,9.0,3
4,9.19,-2.2118,-0.815,-51.07,93,9.5,3
5,10.09,-1.4094,0.115,-41.25,75,10.0,3
6,12.11,-0.3778,-0.27,-19.11,43,13.5,3
7,8.06,-0.2278,-0.63,-14.17,49,9.0,3
8,11.12,0.8686,1.57,-17.61,64,10.0,3
9,16.62,1.4032,-0.41,-18.67,45,9.0,3
10,36.87,2.9608,3.08,-38.65,85,10.0,3
11,11.15,0.633,2.145,-25.99,72,10.0,3
12,26.24,3.6674,3.24,-49.19,84,13.0,3
13,26.33,3.1866,2.88,-36.36,64,10.0,3
14,40.49,3.5264,3.07,-22.11,99,9.0,3
15,24.27,2.4108,2.845,-31.99,57,9.5,3
16,32.57,4.9586,5.075,-10.73,62,10.5,3
17,19.16,4.9068,4.605,-13.29,51,11.0,3
18,38.92,5.5112,5.03,-23.53,53,15.0,3
19,28.54,5.2732,3.9,-16.6,59,9.0,3
20,32.56,5.1852,5.03,-52.0,100,14.0,3
21,19.27,3.1662,5.03,-28.99,57,12.0,3
22,25.0,4.3096,4.56,-25.86,99,11.0,3
23,41.65,6.29,5.03,-10.29,215,11.0,3
24,49.13,6.973,6.56,-50.45,113,16.5,3
25,34.5,3.0018,2.62,-50.02,133,21.0,3
26,47.32,5.2744,6.56,-52.35,121,17.0,3
27,45.53,10.5808,7.6,-22.37,112,17.0,6
28,66.13,3.9142,3.885,-40.19,113,15.0,3
29,25.81,4.7984,5.615,-30.05,127,15.0,3
30,32.64,3.3628,3.885,-52.58,114,13.0,3
31,23.86,3.4436,3.635,-36.75,75,16.0,5
32,25.74,2.1428,2.375,-34.72,78,15.0,3
33,25.34,6.5636,6.56,-8.79,61,15.0,3
34,32.63,2.0786,6.56,-52.58,113,18.0,3
35,31.68,4.8224,5.075,-41.07,118,18.0,3
36,31.98,2.2078,3.145,-52.58,198,15.0,3
37,36.81,3.2298,2.35,-40.26,131,16.0,3
38,39.92,5.209,6.175,-50.47,103,16.5,3
39,40.18,4.2256,5.08,-48.18,116,16.0,3
40,72.0,4.4676,4.19,-31.86,200,13.5,3
41,28.27,4.2906,4.555,-48.56,94,15.0,3
42,34.57,4.147,5.355,-50.64,86,15.0,3
43,43.27,5.6548,6.6,-51.08,92,19.5,3
44,45.74,2.5018,1.34,-51.96,129,15.0,3
45,41.99,4.17,2.9,-47.25,99,21.0,3
46,25.85,2.411,2.4,-35.43,92,20.5,3
47,71.6,6.8422,6.61,-50.02,123,15.5,3
48,34.55,6.9074,5.655,-14.66,55,15.0,3
49,50.41,8.0914,6.405,-36.31,94,20.0,3
50,74.37,11.608,7.635,-5.35,137,15.0,3
51,42.02,5.7282,6.845,-24.05,102,15.0,3
52,55.16,3.071,5.19,-50.64,116,16.5,3
53,24.81,5.5192,6.26,-14.22,68,15.0,3
54,40.83,6.6012,5.44,-9.72,90,15.0,3
55,30.11,7.06,6.69,-26.21,79,19.5,3
56,22.77,5.1114,6.575,-22.08,76,18.5,3
57,65.13,7.8862,5.435,-47.11,113,23.0,3
58,77.93,7.429,7.06,-38.74,193,18.0,5
59,69.1,11.2078,8.22,-25.99,160,22.0,3
60,54.93,8.2996,7.09,-23.61,119,20.5,3
61,48.8,6.3716,6.7,-51.07,236,23.0,3
62,45.76,8.1422,11.165,-50.64,104,29.5,5
63,51.54,0.817,4.67,-53.9,147,27.0,3
64,69.21,9.5974,8.165,-28.42,221,18.0,3
65,72.37,9.1412,6.885,-48.83,242,24.0,3
66,76.14,9.0628,6.6,-50.5,214,20.5,3
67,65.99,7.4682,6.95,-51.08,178,27.5,3
68,37.85,7.664,6.805,-29.48,88,20.5,3
69,48.41,3.865,3.945,-50.3,141,23.0,3
70,41.47,3.181,5.76,-50.55,247,29.5,3
71,65.26,7.4252,6.665,-52.58,226,40.5,5
72,55.11,6.3826,6.27,-52.0,161,33.0,3
73,73.05,11.242,8.855,-42.13,205,24.0,3
74,40.14,7.2398,6.585,-51.19,164,27.5,3
75,92.9,8.8474,6.575,-51.96,187,22.0,3
76,47.47,8.844,6.535,-41.13,214,22.0,3
77,70.27,11.7462,7.915,-53.02,227,38.0,3
