generation,best_score,mean_score,median_score,worst_score,best_turns,median_turns,worst_turns,best_food_eaten,best_sc_survival,best_sc_towards,best_sc_against,best_sc_ate,best_sc_bomb
1,12.52,3.6496,3.09,-2.45,52,9.0,3,1,0.52,24.0,-14.0,2.0,0.0
2,18.2,5.1348,5.13,-2.45,70,15.0,3,0,0.7,35.0,-17.5,0.0,0.0
3,19.47,5.4596,3.815,-1.47,70,15.0,3,1,0.47,27.0,-10.0,2.0,0.0
4,24.3,7.2322,6.745,-1.47,58,21.0,3,0,0.3,26.0,-2.0,0.0,0.0
5,51.79,6.9204,5.095,-2.94,129,10.0,3,2,1.29,74.0,-27.5,4.0,0.0
6,50.85,7.892,6.125,-1.47,135,14.0,3,3,1.35,74.0,-30.5,6.0,0.0
7,66.33,10.1858,7.66,-1.47,133,17.5,3,2,1.33,85.0,-24.0,4.0,0.0
8,49.86,13.3108,7.74,-1.47,99,23.5,3,1,0.86,60.0,-13.0,2.0,0.0
9,106.79,13.8932,10.5,-1.47,229,23.5,3,6,2.29,138.0,-45.5,12.0,0.0
10,131.66,12.0838,10.135,-1.47,216,16.0,3,7,2.16,149.0,-33.5,14.0,0.0
11,62.07,13.187,9.175,-2.21,107,16.0,3,4,1.07,71.0,-18.0,8.0,0.0
12,53.59,13.6186,9.735,-1.9,109,16.5,3,4,1.09,66.0,-21.5,8.0,0.0
13,50.44,13.8898,9.185,1.1,144,16.0,6,2,1.44,78.0,-33.0,4.0,0.0
14,75.57,15.591,10.935,-2.45,166,21.5,3,4,1.07,80.0,-13.5,8.0,0.0
15,50.24,11.4374,7.405,-2.45,97,16.0,3,5,0.74,51.0,-11.5,10.0,0.0
16,97.99,16.4094,8.935,-3.92,199,16.0,3,4,1.99,125.0,-37.0,8.0,0.0
17,113.29,16.8672,9.865,-2.42,196,25.0,3,6,1.79,126.0,-26.5,12.0,0.0
18,51.93,14.0082,10.86,-2.42,143,21.0,3,1,1.43,80.0,-31.5,2.0,0.0
19,114.9,14.973,9.69,0.58,140,21.0,3,10,1.4,109.0,-15.5,20.0,0.0
20,118.48,21.9758,13.635,-1.47,157,26.5,3,7,1.48,118.0,-15.0,14.0,0.0
21,225.22,31.8492,15.39,2.08,272,33.0,3,18,2.72,215.0,-28.5,36.0,0.0
22,129.26,24.0194,15.455,-2.42,180,27.5,3,11,1.76,129.0,-23.5,22.0,0.0
23,127.76,28.5546,17.56,-1.47,276,34.5,3,7,2.76,166.0,-55.0,14.0,0.0
24,137.05,32.3902,13.905,-2.42,353,28.0,3,10,2.05,145.0,-30.0,20.0,0.0
25,82.54,23.7348,15.11,1.59,169,33.5,6,6,1.04,81.0,-11.5,12.0,0.0
26,82.44,27.2688,20.105,-0.92,218,31.0,3,3,1.44,98.0,-23.0,6.0,0.0
27,162.46,28.8958,22.78,3.53,246,28.5,3,8,2.46,178.0,-34.0,16.0,0.0
28,135.25,26.2118,14.935,2.66,353,22.5,3,10,1.75,134.0,-20.5,20.0,0.0
29,108.1,22.3782,11.11,1.59,195,23.0,3,7,1.6,115.0,-22.5,14.0,0.0
30,166.7,24.4394,12.625,0.09,363,27.5,5,10,2.7,186.0,-42.0,20.0,0.0
