phase,fitness,profile,urgency_weight,score_towards,score_against,score_ate,score_survived_tick,score_bomb_exploded,mutation_rate,selection_power,selection_strategy,elitism_rate,tournament_k,top_n_ratio
Coarse,85.27,basic,0.5,1.0,-0.5,1.0,0.01,0,0.5,4,power,0.2,3,0.2
Coarse,152.788,basic,0.5,1.0,-0.5,2.0,0.01,0,0.5,4,power,0.2,3,0.2
Coarse,120.886,basic,0.5,1.0,-0.5,4.0,0.01,0,0.5,4,power,0.2,3,0.2
Coarse,186.908,basic,0.5,1.0,-1.0,1.0,0.01,0,0.5,4,power,0.2,3,0.2
Coarse,144.328,basic,0.5,1.0,-1.0,2.0,0.01,0,0.5,4,power,0.2,3,0.2
Coarse,113.278,basic,0.5,1.0,-1.0,4.0,0.01,0,0.5,4,power,0.2,3,0.2
Coarse,95.57,basic,0.5,1.0,-1.5,1.0,0.01,0,0.5,4,power,0.2,3,0.2
Coarse,135.39,basic,0.5,1.0,-1.5,2.0,0.01,0,0.5,4,power,0.2,3,0.2
Coarse,165.688,basic,0.5,1.0,-1.5,4.0,0.01,0,0.5,4,power,0.2,3,0.2
Coarse,45.044,basic,0.5,1.0,-2.0,1.0,0.01,0,0.5,4,power,0.2,3,0.2
Coarse,184.504,basic,0.5,1.0,-2.0,2.0,0.01,0,0.5,4,power,0.2,3,0.2
Coarse,75.018,basic,0.5,1.0,-2.0,4.0,0.01,0,0.5,4,power,0.2,3,0.2
Coarse,174.852,bomb_aware,0.5,1.0,-0.5,1.0,0.01,0,0.5,4,power,0.2,3,0.2
Coarse,172.506,bomb_aware,0.5,1.0,-0.5,2.0,0.01,0,0.5,4,power,0.2,3,0.2
Coarse,171.298,bomb_aware,0.5,1.0,-0.5,4.0,0.01,0,0.5,4,power,0.2,3,0.2
Coarse,67.068,bomb_aware,0.5,1.0,-1.0,1.0,0.01,0,0.5,4,power,0.2,3,0.2
Coarse,44.01,bomb_aware,0.5,1.0,-1.0,2.0,0.01,0,0.5,4,power,0.2,3,0.2
Coarse,108.126,bomb_aware,0.5,1.0,-1.0,4.0,0.01,0,0.5,4,power,0.2,3,0.2
