phase,fitness,profile,urgency_weight,score_towards,score_against,score_ate,score_survived_tick,score_bomb_exploded,mutation_rate,selection_power,selection_strategy,elitism_rate,tournament_k,top_n_ratio
Selection grid,104.748,bomb_aware,2.0,1.0,-0.5,2.0,0.01,0,0.5,2,power,0.0,3,0.2
Selection grid,339.076,bomb_aware,2.0,1.0,-0.5,2.0,0.01,0,0.5,4,power,0.0,3,0.2
Selection grid,87.378,bomb_aware,2.0,1.0,-0.5,2.0,0.01,0,0.5,8,power,0.0,3,0.2
Selection grid,101.006,bomb_aware,2.0,1.0,-0.5,2.0,0.01,0,0.5,4,tournament,0.0,2,0.2
Selection grid,137.526,bomb_aware,2.0,1.0,-0.5,2.0,0.01,0,0.5,4,tournament,0.0,3,0.2
Selection grid,202.796,bomb_aware,2.0,1.0,-0.5,2.0,0.01,0,0.5,4,tournament,0.0,5,0.2
Selection grid,99.718,bomb_aware,2.0,1.0,-0.5,2.0,0.01,0,0.5,4,tournament,0.0,10,0.2
Selection grid,181.484,bomb_aware,2.0,1.0,-0.5,2.0,0.01,0,0.5,4,roulette,0.0,3,0.2
Selection grid,112.42,bomb_aware,2.0,1.0,-0.5,2.0,0.01,0,0.5,4,top_n,0.0,3,0.1
Selection grid,50.034,bomb_aware,2.0,1.0,-0.5,2.0,0.01,0,0.5,4,top_n,0.0,3,0.2
Selection grid,194.312,bomb_aware,2.0,1.0,-0.5,2.0,0.01,0,0.5,4,top_n,0.0,3,0.3
Selection grid,33.052,bomb_aware,2.0,1.0,-0.5,2.0,0.01,0,0.5,4,random,0.0,3,0.2
Selection grid,162.824,bomb_aware,2.0,1.0,-0.5,2.0,0.01,0,0.5,2,power,0.1,3,0.2
Selection grid,80.046,bomb_aware,2.0,1.0,-0.5,2.0,0.01,0,0.5,4,power,0.1,3,0.2
Selection grid,137.696,bomb_aware,2.0,1.0,-0.5,2.0,0.01,0,0.5,8,power,0.1,3,0.2
Selection grid,53.066,bomb_aware,2.0,1.0,-0.5,2.0,0.01,0,0.5,4,tournament,0.1,2,0.2
Selection grid,124.344,bomb_aware,2.0,1.0,-0.5,2.0,0.01,0,0.5,4,tournament,0.1,3,0.2
Selection grid,69.504,bomb_aware,2.0,1.0,-0.5,2.0,0.01,0,0.5,4,tournament,0.1,5,0.2
Selection grid,51.74,bomb_aware,2.0,1.0,-0.5,2.0,0.01,0,0.5,4,tournament,0.1,10,0.2
Selection grid,34.294,bomb_aware,2.0,1.0,-0.5,2.0,0.01,0,0.5,4,roulette,0.1,3,0.2
Selection grid,120.708,bomb_aware,2.0,1.0,-0.5,2.0,0.01,0,0.5,4,top_n,0.1,3,0.1
Selection grid,312.278,bomb_aware,2.0,1.0,-0.5,2.0,0.01,0,0.5,4,top_n,0.1,3,0.2
Selection grid,238.504,bomb_aware,2.0,1.0,-0.5,2.0,0.01,0,0.5,4,top_n,0.1,3,0.3
Selection grid,115.768,bomb_aware,2.0,1.0,-0.5,2.0,0.01,0,0.5,4,random,0.1,3,0.2
Selection grid,279.444,bomb_aware,2.0,1.0,-0.5,2.0,0.01,0,0.5,2,power,0.2,3,0.2
Selection grid,61.282,bomb_aware,2.0,1.0,-0.5,2.0,0.01,0,0.5,4,power,0.2,3,0.2
Selection grid,222.012,bomb_aware,2.0,1.0,-0.5,2.0,0.01,0,0.5,8,power,0.2,3,0.2
Selection grid,123.274,bomb_aware,2.0,1.0,-0.5,2.0,0.01,0,0.5,4,tournament,0.2,2,0.2
Selection grid,47.856,bomb_aware,2.0,1.0,-0.5,2.0,0.01,0,0.5,4,tournament,0.2,3,0.2
Selection grid,68.87,bomb_aware,2.0,1.0,-0.5,2.0,0.01,0,0.5,4,tournament,0.2,5,0.2
Selection grid,270.18,bomb_aware,2.0,1.0,-0.5,2.0,0.01,0,0.5,4,tournament,0.2,10,0.2
Selection grid,310.26,bomb_aware,2.0,1.0,-0.5,2.0,0.01,0,0.5,4,roulette,0.2,3,0.2
Selection grid,277.532,bomb_aware,2.0,1.0,-0.5,2.0,0.01,0,0.5,4,top_n,0.2,3,0.1
Selection grid,167.142,bomb_aware,2.0,1.0,-0.5,2.0,0.01,0,0.5,4,top_n,0.2,3,0.2
Selection grid,129.366,bomb_aware,2.0,1.0,-0.5,2.0,0.01,0,0.5,4,top_n,0.2,3,0.3
Selection grid,96.57,bomb_aware,2.0,1.0,-0.5,2.0,0.01,0,0.5,4,random,0.2,3,0.2
Selection grid,229.16,bomb_aware,2.0,1.0,-0.5,2.0,0.01,0,0.5,2,power,0.3,3,0.2
Selection grid,73.91,bomb_aware,2.0,1.0,-0.5,2.0,0.01,0,0.5,4,power,0.3,3,0.2
Selection grid,67.358,bomb_aware,2.0,1.0,-0.5,2.0,0.01,0,0.5,8,power,0.3,3,0.2
Selection grid,260.074,bomb_aware,2.0,1.0,-0.5,2.0,0.01,0,0.5,4,tournament,0.3,2,0.2
Selection grid,233.922,bomb_aware,2.0,1.0,-0.5,2.0,0.01,0,0.5,4,tournament,0.3,3,0.2
Selection grid,194.984,bomb_aware,2.0,1.0,-0.5,2.0,0.01,0,0.5,4,tournament,0.3,5,0.2
Selection grid,118.052,bomb_aware,2.0,1.0,-0.5,2.0,0.01,0,0.5,4,tournament,0.3,10,0.2
Selection grid,286.362,bomb_aware,2.0,1.0,-0.5,2.0,0.01,0,0.5,4,roulette,0.3,3,0.2
Selection grid,149.99,bomb_aware,2.0,1.0,-0.5,2.0,0.01,0,0.5,4,top_n,0.3,3,0.1
Selection grid,214.622,bomb_aware,2.0,1.0,-0.5,2.0,0.01,0,0.5,4,top_n,0.3,3,0.2
Selection grid,150.008,bomb_aware,2.0,1.0,-0.5,2.0,0.01,0,0.5,4,top_n,0.3,3,0.3
Selection grid,140.39,bomb_aware,2.0,1.0,-0.5,2.0,0.01,0,0.5,4,random,0.3,3,0.2
