generation,best_score,mean_score,median_score,worst_score
1,15.5,-4.1,-4.5,-34.5
2,33.5,-0.06,-1.25,-33.5
3,45.0,4.89,0.5,-28.0
4,66.0,9.71,5.5,-10.5
5,82.0,13.59,10.0,-12.0
6,68.5,19.74,13.5,-3.5
7,65.0,16.15,12.5,-2.0
8,101.0,22.61,17.25,-8.0
9,74.0,18.46,12.25,-4.5
10,125.5,23.59,13.25,-4.5
11,119.5,27.69,18.5,-6.0
12,111.5,27.68,24.0,-14.5
13,99.5,22.84,14.25,-3.0
14,99.5,26.86,16.25,-4.5
15,96.5,23.95,20.5,-4.5
16,99.0,26.43,18.75,-2.5
17,117.0,23.71,19.0,-9.5
18,166.5,28.62,19.0,-4.5
19,72.0,19.77,13.0,-1.0
20,142.0,20.54,15.25,-4.5
21,114.5,23.24,13.0,-2.5
22,94.5,23.07,16.0,-10.0
23,83.5,21.59,17.25,-5.0
24,118.5,24.57,14.0,-0.5
25,149.0,26.36,22.5,-4.5
26,112.5,22.22,12.5,-6.0
27,119.5,19.82,11.25,-13.5
28,95.0,20.79,15.5,-4.5
29,141.5,25.55,18.0,-23.5
30,147,22.19,18.25,-37.0
31,151.5,20.88,14.5,-34.0
32,143.5,35.87,26.25,-15.0
33,155.5,26.45,18.25,-25.0
34,139.5,31.13,21.75,-2.5
35,197.5,36.55,21.75,-19.5
36,126.0,42.03,30.5,-6.0
37,275.5,49.31,22.5,-13.0
38,206.5,33.54,19.0,-10.5
39,237.5,50.13,30.75,-29.0
40,135.0,26.26,20.0,-16.5
41,190.0,39.14,26.75,-3.5
42,122.5,33.13,24.75,-4.5
43,141.5,28.94,20.75,-18.5
44,283.5,44.06,29.25,-2.5
45,141.0,35.17,30.0,-14.5
46,173.0,34.59,23.5,-51.0
47,112.5,32.57,26.25,0.5
48,153.0,33.72,28.25,-9.0
49,125.5,30.37,19.25,-6.0
50,173.0,32.91,23.0,-8.0
51,209.0,31.43,20.25,-12.0
52,197.5,41.32,28.5,-12.0
53,239.5,40.14,28.25,-4.5
54,162.5,38.88,25.25,-5.5
55,145.0,36.43,27.0,-21.0
56,167.5,42.65,28.0,-6.0
57,222.5,40.43,32.25,-9.0
58,150.5,35.48,26.75,-4.5
59,167.0,41.92,33.75,-9.0
60,345.0,51.01,30.75,-4.5
61,199.0,49.86,37.5,-4.5
62,399.0,56.3,35.75,-0.5
63,292.0,58.0,30.0,-5.0
64,357.0,61.34,35.75,0.0
65,222.0,46.38,33.0,-6.5
66,464.5,65.91,32.25,-7.5
67,248.5,53.32,35.75,-21.5
68,224.5,52.91,40.75,0.0
69,347.5,57.02,26.75,-12.0
70,386.5,63.45,44.25,-11.0
71,437.5,59.91,43.0,3.5
72,210.5,58.52,42.75,-14.5
73,246.5,56.75,39.0,-1.5
74,210.0,54.7,39.75,-3.5
75,310.0,44.76,33.0,-1.5
76,217.5,44.18,28.0,-35.5
77,172.5,50.03,24.0,-34.5
78,216.5,46.69,26.25,-30.0
79,233.5,57.12,38.25,-51.0
80,301.0,50.09,32.75,-12.0
81,304.5,61.41,39.5,-11.5
82,223.5,47.31,30.25,-25.0
83,242.5,46.16,37.5,-24.5
84,431.0,67.29,38.0,-28.5
85,410.5,62.87,33.0,-13.5
86,314.0,64.1,35.25,-0.5
87,201.5,48.12,28.75,-4.0
88,206.5,64.16,45.25,-3.5
89,292.0,64.58,53.5,0.5
90,298.5,71.04,34.75,1.0
91,183.0,44.96,24.25,-12.5
92,361.5,55.27,33.75,-9.0
93,300.5,61.63,44.25,-5.0
94,360.5,56.22,30.75,-14.0
95,341.0,54.8,24.25,-15.5
96,602.5,79.38,55.0,-2.5
97,330.5,72.1,51.25,-2.5
98,215.5,56.3,42.0,-14.0
99,568.0,90.09,47.0,-1.0
100,274.5,60.66,41.25,0.0
