generation,best_score,mean_score,median_score,worst_score,best_turns,median_turns,worst_turns
1,13.23,-2.6496,-1.47,-30.79,73,9.0,3
2,28.44,-3.5948,-1.455,-51.95,105,9.0,3
3,28.8,0.3986,1.26,-36.75,75,15.0,3
4,27.69,3.6058,4.56,-26.43,74,12.5,3
5,40.01,4.6556,4.56,-39.75,75,11.5,3
6,35.91,3.4902,2.565,-22.11,46,9.0,3
7,48.54,7.0226,5.315,-19.97,54,11.0,3
8,38.93,7.953,6.07,-25.86,64,13.5,4
9,54.46,7.0388,4.63,-10.73,62,15.0,3
10,34.33,6.8228,4.56,-13.84,116,11.0,3
11,75.13,9.597,5.305,-21.36,88,11.0,3
12,58.43,9.805,4.425,-4.29,47,11.0,3
13,29.71,7.267,6.03,-10.26,49,9.5,3
14,80.15,14.571,10.625,-14.11,73,16.0,3
15,100.01,14.2438,9.85,-8.24,101,15.0,3
16,66.36,13.3312,7.11,-2.26,86,11.0,3
17,58.01,9.2268,4.565,-15.67,57,10.0,3
18,73.39,14.2106,10.14,-10.29,89,12.5,3
19,91.61,15.7396,12.2,-7.73,111,17.0,7
20,76.67,16.4404,9.775,-12.98,67,16.0,3
21,93.39,15.2948,11.665,-3.92,89,19.0,3
22,86.48,23.9928,21.44,-11.81,98,27.0,4
23,83.02,22.6768,16.275,-3.92,111,27.5,5
24,79.98,17.802,12.91,-17.04,98,20.0,3
25,106.69,21.875,15.73,-6.67,119,19.5,3
26,96.33,17.4368,11.355,-11.42,152,21.5,3
27,76.65,17.7554,10.69,-8.92,99,24.0,3
28,106.12,18.8046,11.625,-12.09,115,22.0,5
29,108.45,15.9244,12.155,-6.85,145,18.0,5
30,75.26,18.678,14.675,-25.3,76,25.5,6
31,119.18,21.514,11.71,-15.35,168,21.0,3
32,84.67,23.369,16.47,-2.42,122,20.0,3
33,53.57,15.415,10.86,-3.85,63,17.5,3
34,68.68,17.636,13.945,-4.8,86,19.0,3
35,136.96,24.4678,14.905,-17.17,146,17.0,3
36,98.35,22.265,16.125,-1.91,85,17.0,3
37,74.63,20.7512,18.235,-2.42,113,20.5,3
38,166.13,26.0498,18.43,-6.23,163,21.5,3
39,55.16,19.5294,14.16,-1.91,73,18.0,3
40,138.82,24.8046,16.185,-1.47,132,24.0,3
41,88.35,20.1484,13.1,-50.99,101,20.5,3
42,101.13,18.1178,14.165,-9.23,113,17.5,3
43,79.43,22.4666,16.69,1.04,93,18.0,3
44,77.16,19.5484,15.155,-10.78,81,18.5,3
45,53.6,16.7374,13.86,-12.1,60,20.5,3
46,95.38,30.7754,23.53,-0.85,117,28.0,5
47,84.08,21.6832,18.945,-3.85,108,21.5,3
48,118.72,22.3778,15.63,-19.95,122,22.0,3
49,87.13,24.8788,19.7,-0.9,113,22.0,8
50,112.8,26.586,15.15,-4.06,145,20.0,3
51,166.35,28.745,19.495,-3.74,185,27.0,3
52,68.3,23.113,18.455,-1.47,84,21.5,3
53,111.04,25.0668,14.915,-2.79,139,20.5,3
54,132.73,27.1814,21.14,-6.19,136,29.0,3
55,175.82,28.454,13.83,-3.92,182,18.0,3
56,144.43,31.2862,22.2,-1.91,143,29.5,3
57,146.97,31.6534,17.725,-1.47,172,25.5,3
58,169.22,34.2568,23.085,-1.47,172,31.0,3
59,123.86,29.9088,24.7,-2.42,136,25.5,3
60,129.35,36.5016,29.38,-2.42,147,33.0,3
61,154.64,33.3218,21.765,-3.92,172,22.5,3
62,182.24,39.1368,28.76,-2.42,194,29.5,7
63,149.61,33.9688,19.7,-5.03,161,22.0,3
64,223.37,42.8108,27.275,-1.47,237,31.0,3
65,146.52,33.322,29.535,-18.49,152,36.5,3
66,161.15,34.9922,23.015,-1.47,165,29.0,3
67,104.15,29.4626,20.135,-8.08,115,29.0,3
68,124.37,38.4572,30.535,-1.47,149,27.0,3
69,201.46,44.9846,30.615,-1.91,196,34.5,3
70,132.04,34.1246,26.31,-1.78,154,34.5,3
71,129.8,39.5326,33.2,-1.47,152,32.5,3
72,461.11,48.7698,34.355,-1.47,511,36.0,3
73,164.75,35.5566,25.49,-2.84,225,24.0,3
74,177.53,38.0688,29.2,-8.35,203,34.0,3
75,118.1,37.5628,26.0,-1.73,135,34.5,3
76,129.55,35.828,28.095,-2.95,137,33.0,3
77,241.97,50.8954,43.22,-3.85,247,43.5,9
78,179.63,51.0416,34.42,-6.28,213,39.0,3
79,118.23,40.0842,34.54,-1.47,123,33.0,3
80,96.81,30.6394,28.01,-8.02,132,30.0,3
81,162.62,41.6304,27.815,-1.47,165,25.0,3
82,181.01,45.7236,35.615,-1.47,201,36.5,3
83,230.12,45.7024,34.08,-6.23,212,33.0,3
84,164.8,35.2328,30.31,-1.47,180,36.0,3
85,184.78,35.668,22.3,-1.47,228,28.5,3
86,242.82,40.1562,25.58,2.05,282,32.0,3
87,162.82,50.6068,41.935,-1.47,184,44.0,3
88,230.02,34.088,17.17,-1.47,252,23.5,3
89,200.17,47.6926,30.795,-1.47,217,34.0,3
90,271.54,50.9016,32.895,-1.47,303,34.0,3
91,153.75,32.2902,23.58,-1.47,175,26.0,3
92,183.41,37.8526,26.585,-3.9,291,31.5,3
93,213.98,41.633,30.34,-12.48,198,38.0,5
94,191.51,39.2028,21.545,-25.99,201,30.5,3
95,182.93,35.1366,14.45,-2.4,193,23.5,3
96,224.36,45.0236,31.785,2.15,236,33.5,3
97,150.35,42.593,31.1,4.66,185,35.0,9
98,190.83,51.31,34.935,2.19,202,40.5,3
99,116.37,35.925,30.595,-35.26,137,35.0,3
100,178.87,36.1186,27.83,-3.85,187,34.5,3
