generation,best_score,mean_score,median_score,worst_score,best_turns,median_turns,worst_turns,best_food_eaten,best_sc_survival,best_sc_towards,best_sc_against,best_sc_ate,best_sc_bomb
1,52.53,3.6164,2.585,-5.82,103,9.0,3,2,1.03,66.0,-18.5,4.0,0.0
2,70.24,9.401,4.885,-3.43,224,15.5,3,3,2.24,116.0,-54.0,6.0,0.0
3,92.44,8.935,4.16,-2.36,344,16.0,3,3,3.44,170.0,-87.0,6.0,0.0
4,146.8,16.4544,7.8,-2.45,430,27.0,3,7,4.3,229.0,-100.5,14.0,0.0
5,71.6,13.0758,10.21,-1.47,260,30.0,3,2,2.6,130.0,-65.0,4.0,0.0
6,158.97,20.295,14.485,-3.37,597,44.5,6,6,5.97,293.0,-152.0,12.0,0.0
7,181.53,17.5242,7.26,-3.43,653,20.5,4,7,6.53,325.0,-164.0,14.0,0.0
8,72.04,13.8316,9.015,-4.26,241,31.5,3,2,2.04,112.0,-46.0,4.0,0.0
9,98.49,14.172,8.875,-1.84,299,26.5,3,4,2.99,158.0,-70.5,8.0,0.0
10,95.97,19.4696,11.765,-3.43,297,39.0,3,6,2.97,153.0,-72.0,12.0,0.0
11,90.67,17.3054,11.7,-2.88,267,47.5,3,2,2.67,145.0,-61.0,4.0,0.0
12,164.58,25.5904,14.545,-4.32,558,39.5,3,6,5.58,284.0,-137.0,12.0,0.0
13,132.11,19.6714,10.035,-1.47,411,31.5,3,4,4.11,217.0,-97.0,8.0,0.0
14,67.46,16.9224,12.09,-2.94,175,41.5,6,5,1.46,86.0,-30.0,10.0,0.0
15,153.75,21.8692,11.04,-3.4,501,34.0,3,7,4.25,232.0,-96.5,14.0,0.0
16,209.81,24.876,11.425,-1.47,581,46.0,3,8,5.81,319.0,-131.0,16.0,0.0
17,112.71,19.7682,11.21,-1.47,292,39.0,3,7,2.21,138.0,-41.5,14.0,0.0
18,126.43,22.9004,15.75,-1.84,343,38.0,3,7,3.43,187.0,-78.0,14.0,0.0
19,209.09,40.6172,16.555,-1.47,609,36.0,3,7,6.09,329.0,-140.0,14.0,0.0
20,168.63,35.9,21.16,-2.42,513,58.0,3,6,5.13,272.0,-120.5,12.0,0.0
21,135.33,30.9096,19.835,-1.47,383,62.5,3,7,3.83,206.0,-88.5,14.0,0.0
22,173.13,38.0964,21.15,-1.47,429,78.0,3,10,4.13,237.0,-88.0,20.0,0.0
23,150.41,33.8606,15.96,-1.47,491,52.0,3,5,4.91,254.0,-118.5,10.0,0.0
24,180.35,31.9904,20.0,-1.47,535,58.5,3,6,5.35,287.0,-124.0,12.0,0.0
25,149.09,32.94,17.935,-3.92,559,53.0,3,3,5.59,278.0,-140.5,6.0,0.0
26,178.9,34.2208,17.965,-1.47,540,60.5,3,5,5.4,289.0,-125.5,10.0,0.0
27,145.63,34.8242,23.67,-1.47,490,70.0,3,8,3.63,205.0,-79.0,16.0,0.0
28,251.39,29.6582,14.875,-1.47,939,43.5,3,13,9.39,457.0,-241.0,26.0,0.0
