phase,fitness,profile,urgency_weight,score_towards,score_against,score_ate,score_survived_tick,score_bomb_exploded,mutation_rate,selection_power,selection_strategy,elitism_rate,tournament_k,top_n_ratio
Coarse,40.138,basic,0.5,1.0,-0.5,1.0,0.01,-5.0,0.5,4,power,0.2,3,0.2
Coarse,276.158,basic,0.5,1.0,-0.5,2.0,0.01,-5.0,0.5,4,power,0.2,3,0.2
Coarse,22.04,basic,0.5,1.0,-0.5,4.0,0.01,-5.0,0.5,4,power,0.2,3,0.2
Coarse,110.78,basic,0.5,1.0,-1.0,1.0,0.01,-5.0,0.5,4,power,0.2,3,0.2
Coarse,179.834,basic,0.5,1.0,-1.0,2.0,0.01,-5.0,0.5,4,power,0.2,3,0.2
Coarse,22.358,basic,0.5,1.0,-1.0,4.0,0.01,-5.0,0.5,4,power,0.2,3,0.2
Coarse,18.334,basic,0.5,1.0,-1.5,1.0,0.01,-5.0,0.5,4,power,0.2,3,0.2
Coarse,68.886,basic,0.5,1.0,-1.5,2.0,0.01,-5.0,0.5,4,power,0.2,3,0.2
Coarse,102.232,basic,0.5,1.0,-1.5,4.0,0.01,-5.0,0.5,4,power,0.2,3,0.2
Coarse,63.982,basic,0.5,1.0,-2.0,1.0,0.01,-5.0,0.5,4,power,0.2,3,0.2
Coarse,56.336,basic,0.5,1.0,-2.0,2.0,0.01,-5.0,0.5,4,power,0.2,3,0.2
Coarse,140.826,basic,0.5,1.0,-2.0,4.0,0.01,-5.0,0.5,4,power,0.2,3,0.2
Coarse,43.86,bomb_aware,0.5,1.0,-0.5,1.0,0.01,-5.0,0.5,4,power,0.2,3,0.2
Coarse,99.508,bomb_aware,0.5,1.0,-0.5,2.0,0.01,-5.0,0.5,4,power,0.2,3,0.2
Coarse,38.886,bomb_aware,0.5,1.0,-0.5,4.0,0.01,-5.0,0.5,4,power,0.2,3,0.2
Coarse,31.312,bomb_aware,0.5,1.0,-1.0,1.0,0.01,-5.0,0.5,4,power,0.2,3,0.2
Coarse,59.402,bomb_aware,0.5,1.0,-1.0,2.0,0.01,-5.0,0.5,4,power,0.2,3,0.2
Coarse,54.826,bomb_aware,0.5,1.0,-1.0,4.0,0.01,-5.0,0.5,4,power,0.2,3,0.2
Coarse,35.488,bomb_aware,0.5,1.0,-1.5,1.0,0.01,-5.0,0.5,4,power,0.2,3,0.2
Coarse,21.584,bomb_aware,0.5,1.0,-1.5,2.0,0.01,-5.0,0.5,4,power,0.2,3,0.2
Coarse,86.314,bomb_aware,0.5,1.0,-1.5,4.0,0.01,-5.0,0.5,4,power,0.2,3,0.2
Coarse,15.966,bomb_aware,0.5,1.0,-2.0,1.0,0.01,-5.0,0.5,4,power,0.2,3,0.2
Coarse,33.084,bomb_aware,0.5,1.0,-2.0,2.0,0.01,-5.0,0.5,4,power,0.2,3,0.2
Coarse,117.686,bomb_aware,0.5,1.0,-2.0,4.0,0.01,-5.0,0.5,4,power,0.2,3,0.2
Coarse,23.72,timer,0.5,1.0,-0.5,1.0,0.01,-5.0,0.5,4,power,0.2,3,0.2
Coarse,83.076,timer,0.5,1.0,-0.5,2.0,0.01,-5.0,0.5,4,power,0.2,3,0.2
Coarse,70.772,timer,0.5,1.0,-0.5,4.0,0.01,-5.0,0.5,4,power,0.2,3,0.2
Coarse,18.532,timer,0.5,1.0,-1.0,1.0,0.01,-5.0,0.5,4,power,0.2,3,0.2
Coarse,33.502,timer,0.5,1.0,-1.0,2.0,0.01,-5.0,0.5,4,power,0.2,3,0.2
Coarse,31.608,timer,0.5,1.0,-1.0,4.0,0.01,-5.0,0.5,4,power,0.2,3,0.2
Coarse,17.096,timer,0.5,1.0,-1.5,1.0,0.01,-5.0,0.5,4,power,0.2,3,0.2
Coarse,63.756,timer,0.5,1.0,-1.5,2.0,0.01,-5.0,0.5,4,power,0.2,3,0.2
Coarse,36.094,timer,0.5,1.0,-1.5,4.0,0.01,-5.0,0.5,4,power,0.2,3,0.2
Coarse,31.37,timer,0.5,1.0,-2.0,1.0,0.01,-5.0,0.5,4,power,0.2,3,0.2
Coarse,11.612,timer,0.5,1.0,-2.0,2.0,0.01,-5.0,0.5,4,power,0.2,3,0.2
Coarse,50.598,timer,0.5,1.0,-2.0,4.0,0.01,-5.0,0.5,4,power,0.2,3,0.2
Coarse,77.696,timer,1.0,1.0,-0.5,1.0,0.01,-5.0,0.5,4,power,0.2,3,0.2
Coarse,140.394,timer,1.0,1.0,-0.5,2.0,0.01,-5.0,0.5,4,power,0.2,3,0.2
Coarse,29.298,timer,1.0,1.0,-0.5,4.0,0.01,-5.0,0.5,4,power,0.2,3,0.2
Coarse,32.89,timer,1.0,1.0,-1.0,1.0,0.01,-5.0,0.5,4,power,0.2,3,0.2
Coarse,26.494,timer,1.0,1.0,-1.0,2.0,0.01,-5.0,0.5,4,power,0.2,3,0.2
Coarse,29.042,timer,1.0,1.0,-1.0,4.0,0.01,-5.0,0.5,4,power,0.2,3,0.2
Coarse,74.096,timer,1.0,1.0,-1.5,1.0,0.01,-5.0,0.5,4,power,0.2,3,0.2
Coarse,14.792,timer,1.0,1.0,-1.5,2.0,0.01,-5.0,0.5,4,power,0.2,3,0.2
Coarse,34.432,timer,1.0,1.0,-1.5,4.0,0.01,-5.0,0.5,4,power,0.2,3,0.2
Coarse,14.52,timer,1.0,1.0,-2.0,1.0,0.01,-5.0,0.5,4,power,0.2,3,0.2
Coarse,10.288,timer,1.0,1.0,-2.0,2.0,0.01,-5.0,0.5,4,power,0.2,3,0.2
Coarse,37.95,timer,1.0,1.0,-2.0,4.0,0.01,-5.0,0.5,4,power,0.2,3,0.2
Coarse,16.33,timer,2.0,1.0,-0.5,1.0,0.01,-5.0,0.5,4,power,0.2,3,0.2
Coarse,24.632,timer,2.0,1.0,-0.5,2.0,0.01,-5.0,0.5,4,power,0.2,3,0.2
Coarse,30.004,timer,2.0,1.0,-0.5,4.0,0.01,-5.0,0.5,4,power,0.2,3,0.2
Coarse,54.43,timer,2.0,1.0,-1.0,1.0,0.01,-5.0,0.5,4,power,0.2,3,0.2
Coarse,16.212,timer,2.0,1.0,-1.0,2.0,0.01,-5.0,0.5,4,power,0.2,3,0.2
Coarse,167.51,timer,2.0,1.0,-1.0,4.0,0.01,-5.0,0.5,4,power,0.2,3,0.2
Coarse,56.26,timer,2.0,1.0,-1.5,1.0,0.01,-5.0,0.5,4,power,0.2,3,0.2
Coarse,12.752,timer,2.0,1.0,-1.5,2.0,0.01,-5.0,0.5,4,power,0.2,3,0.2
Coarse,201.276,timer,2.0,1.0,-1.5,4.0,0.01,-5.0,0.5,4,power,0.2,3,0.2
Coarse,11.526,timer,2.0,1.0,-2.0,1.0,0.01,-5.0,0.5,4,power,0.2,3,0.2
Coarse,22.996,timer,2.0,1.0,-2.0,2.0,0.01,-5.0,0.5,4,power,0.2,3,0.2
Coarse,44.724,timer,2.0,1.0,-2.0,4.0,0.01,-5.0,0.5,4,power,0.2,3,0.2
Coarse,27.06,timer,3.0,1.0,-0.5,1.0,0.01,-5.0,0.5,4,power,0.2,3,0.2
Coarse,35.74,timer,3.0,1.0,-0.5,2.0,0.01,-5.0,0.5,4,power,0.2,3,0.2
Coarse,58.552,timer,3.0,1.0,-0.5,4.0,0.01,-5.0,0.5,4,power,0.2,3,0.2
Coarse,26.666,timer,3.0,1.0,-1.0,1.0,0.01,-5.0,0.5,4,power,0.2,3,0.2
Coarse,11.578,timer,3.0,1.0,-1.0,2.0,0.01,-5.0,0.5,4,power,0.2,3,0.2
Coarse,21.4,timer,3.0,1.0,-1.0,4.0,0.01,-5.0,0.5,4,power,0.2,3,0.2
Coarse,16.158,timer,3.0,1.0,-1.5,1.0,0.01,-5.0,0.5,4,power,0.2,3,0.2
Coarse,11.092,timer,3.0,1.0,-1.5,2.0,0.01,-5.0,0.5,4,power,0.2,3,0.2
Coarse,33.35,timer,3.0,1.0,-1.5,4.0,0.01,-5.0,0.5,4,power,0.2,3,0.2
Coarse,31.728,timer,3.0,1.0,-2.0,1.0,0.01,-5.0,0.5,4,power,0.2,3,0.2
Coarse,67.59,timer,3.0,1.0,-2.0,2.0,0.01,-5.0,0.5,4,power,0.2,3,0.2
Coarse,37.596,timer,3.0,1.0,-2.0,4.0,0.01,-5.0,0.5,4,power,0.2,3,0.2
Coarse,40.21,full,0.5,1.0,-0.5,1.0,0.01,-5.0,0.5,4,power,0.2,3,0.2
Coarse,39.664,full,0.5,1.0,-0.5,2.0,0.01,-5.0,0.5,4,power,0.2,3,0.2
Coarse,51.25,full,0.5,1.0,-0.5,4.0,0.01,-5.0,0.5,4,power,0.2,3,0.2
Coarse,25.94,full,0.5,1.0,-1.0,1.0,0.01,-5.0,0.5,4,power,0.2,3,0.2
Coarse,52.768,full,0.5,1.0,-1.0,2.0,0.01,-5.0,0.5,4,power,0.2,3,0.2
Coarse,25.162,full,0.5,1.0,-1.0,4.0,0.01,-5.0,0.5,4,power,0.2,3,0.2
Coarse,23.206,full,0.5,1.0,-1.5,1.0,0.01,-5.0,0.5,4,power,0.2,3,0.2
Coarse,53.784,full,0.5,1.0,-1.5,2.0,0.01,-5.0,0.5,4,power,0.2,3,0.2
Coarse,85.21,full,0.5,1.0,-1.5,4.0,0.01,-5.0,0.5,4,power,0.2,3,0.2
Coarse,63.7,full,0.5,1.0,-2.0,1.0,0.01,-5.0,0.5,4,power,0.2,3,0.2
Coarse,34.952,full,0.5,1.0,-2.0,2.0,0.01,-5.0,0.5,4,power,0.2,3,0.2
Coarse,65.478,full,0.5,1.0,-2.0,4.0,0.01,-5.0,0.5,4,power,0.2,3,0.2
Coarse,41.08,full,1.0,1.0,-0.5,1.0,0.01,-5.0,0.5,4,power,0.2,3,0.2
