phase,fitness,profile,urgency_weight,score_towards,score_against,score_ate,score_survived_tick,score_bomb_exploded,mutation_rate,selection_power,selection_strategy,elitism_rate,tournament_k,top_n_ratio
Selection grid,64.982,bomb_aware,2.0,1.0,-0.5,2.0,0.01,-5.0,0.5,2,power,0.0,3,0.2
Selection grid,93.578,bomb_aware,2.0,1.0,-0.5,2.0,0.01,-5.0,0.5,4,power,0.0,3,0.2
Selection grid,21.946,bomb_aware,2.0,1.0,-0.5,2.0,0.01,-5.0,0.5,8,power,0.0,3,0.2
Selection grid,24.984,bomb_aware,2.0,1.0,-0.5,2.0,0.01,-5.0,0.5,4,tournament,0.0,2,0.2
Selection grid,64.05,bomb_aware,2.0,1.0,-0.5,2.0,0.01,-5.0,0.5,4,tournament,0.0,3,0.2
Selection grid,123.118,bomb_aware,2.0,1.0,-0.5,2.0,0.01,-5.0,0.5,4,tournament,0.0,5,0.2
Selection grid,30.56,bomb_aware,2.0,1.0,-0.5,2.0,0.01,-5.0,0.5,4,tournament,0.0,10,0.2
Selection grid,19.338,bomb_aware,2.0,1.0,-0.5,2.0,0.01,-5.0,0.5,4,roulette,0.0,3,0.2
Selection grid,71.856,bomb_aware,2.0,1.0,-0.5,2.0,0.01,-5.0,0.5,4,top_n,0.0,3,0.1
Selection grid,30.504,bomb_aware,2.0,1.0,-0.5,2.0,0.01,-5.0,0.5,4,top_n,0.0,3,0.2
Selection grid,39.524,bomb_aware,2.0,1.0,-0.5,2.0,0.01,-5.0,0.5,4,top_n,0.0,3,0.3
Selection grid,18.31,bomb_aware,2.0,1.0,-0.5,2.0,0.01,-5.0,0.5,4,random,0.0,3,0.2
Selection grid,48.164,bomb_aware,2.0,1.0,-0.5,2.0,0.01,-5.0,0.5,2,power,0.1,3,0.2
Selection grid,60.852,bomb_aware,2.0,1.0,-0.5,2.0,0.01,-5.0,0.5,4,power,0.1,3,0.2
Selection grid,37.176,bomb_aware,2.0,1.0,-0.5,2.0,0.01,-5.0,0.5,8,power,0.1,3,0.2
Selection grid,96.898,bomb_aware,2.0,1.0,-0.5,2.0,0.01,-5.0,0.5,4,tournament,0.1,2,0.2
Selection grid,50.472,bomb_aware,2.0,1.0,-0.5,2.0,0.01,-5.0,0.5,4,tournament,0.1,3,0.2
Selection grid,36.93,bomb_aware,2.0,1.0,-0.5,2.0,0.01,-5.0,0.5,4,tournament,0.1,5,0.2
Selection grid,46.08,bomb_aware,2.0,1.0,-0.5,2.0,0.01,-5.0,0.5,4,tournament,0.1,10,0.2
Selection grid,36.938,bomb_aware,2.0,1.0,-0.5,2.0,0.01,-5.0,0.5,4,roulette,0.1,3,0.2
Selection grid,60.85,bomb_aware,2.0,1.0,-0.5,2.0,0.01,-5.0,0.5,4,top_n,0.1,3,0.1
Selection grid,83.466,bomb_aware,2.0,1.0,-0.5,2.0,0.01,-5.0,0.5,4,top_n,0.1,3,0.2
Selection grid,74.202,bomb_aware,2.0,1.0,-0.5,2.0,0.01,-5.0,0.5,4,top_n,0.1,3,0.3
